n_trades,n_taken,skipped_by_daily_cap,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,max_dd_pct,worst_day_pct,trailing_dd_breaches,oos_days,model,instrument,strategy,style
54,54,0,0.2222,-0.2516,-1.27,0.674,-9.99,-6.77,-0.98,-11.29,-2.25,2,378,MNQ_ta_A,MNQ,ta,A
60,60,0,0.3,-0.2233,-1.44,0.679,-4.82,-3.24,-1.48,-5.53,-0.75,1,378,MNQ_ta_B,MNQ,ta,B
210,210,0,0.3857,-0.0401,-0.5,0.93,-2.94,-2.01,-0.53,-4.73,-0.81,0,370,MNQ_ta_C,MNQ,ta,C
17,17,0,0.3529,-0.1136,-0.4,0.794,-1.5,-1.12,-0.34,-4.36,-0.77,0,339,XAUUSD_smc_A,XAUUSD,smc,A
17,17,0,0.4118,0.0957,0.32,1.195,1.16,0.86,-0.07,-3.91,-0.77,0,338,XAUUSD_smc_B,XAUUSD,smc,B
18,18,0,0.4444,0.1379,0.49,1.297,0.98,0.73,0.09,-1.77,-0.41,0,338,XAUUSD_smc_C,XAUUSD,smc,C
401,401,0,0.2793,0.0144,0.17,1.02,1.18,0.78,0.14,-25.98,-3.07,11,380,XAUUSD_ml_A,XAUUSD,ml,A
438,438,0,0.2877,-0.0171,-0.22,0.976,-6.2,-4.16,-0.43,-11.56,-1.5,7,380,XAUUSD_ml_B,XAUUSD,ml,B
747,747,0,0.3815,0.0061,0.13,1.01,-0.76,-0.5,-0.04,-6.66,-1.28,7,380,XAUUSD_ml_C,XAUUSD,ml,C
373,372,1,0.2796,-0.0052,-0.06,0.993,-4.31,-2.88,-0.03,-32.08,-3.03,8,380,XAUUSD_ml_err_A,XAUUSD,ml_err,A
304,304,0,0.3191,0.0407,0.44,1.061,3.36,2.21,0.26,-12.93,-2.0,6,380,XAUUSD_ml_err_B,XAUUSD,ml_err,B
704,704,0,0.3707,0.0085,0.17,1.014,3.16,2.09,0.27,-9.31,-2.04,24,380,XAUUSD_ml_err_C,XAUUSD,ml_err,C
421,420,1,0.3048,0.1006,1.19,1.144,32.48,20.5,0.96,-18.89,-3.06,19,380,XAUUSD_ml_rec_A,XAUUSD,ml_rec,A
346,346,0,0.3728,0.1245,1.47,1.201,38.32,24.0,1.38,-10.22,-3.0,3,380,XAUUSD_ml_rec_B,XAUUSD,ml_rec,B
852,852,0,0.4073,0.0909,1.97,1.158,20.12,12.93,1.27,-5.28,-1.82,3,380,XAUUSD_ml_rec_C,XAUUSD,ml_rec,C
158,158,0,0.3165,0.054,0.42,1.08,5.37,3.57,0.41,-13.74,-2.27,5,376,XAUUSD_ta_A,XAUUSD,ta,A
152,152,0,0.3026,0.0777,0.53,1.113,2.84,1.9,0.5,-3.71,-0.76,0,376,XAUUSD_ta_B,XAUUSD,ta,B
28,28,0,0.4286,0.074,0.29,1.129,0.77,0.53,0.22,-3.18,-0.8,0,365,XAUUSD_ta_C,XAUUSD,ta,C
34,34,0,0.3235,-0.1249,-0.51,0.816,-3.32,-1.99,-0.39,-9.35,-0.81,1,424,EURUSD_smc_A,EURUSD,smc,A
34,34,0,0.3529,-0.1437,-0.67,0.778,-1.17,-0.7,-0.18,-5.5,-0.81,1,424,EURUSD_smc_B,EURUSD,smc,B
35,35,0,0.3714,-0.0324,-0.14,0.948,-0.5,-0.3,-0.12,-3.64,-0.43,0,424,EURUSD_smc_C,EURUSD,smc,C
422,422,0,0.3318,0.038,0.47,1.053,9.12,4.21,0.35,-26.79,-2.6,6,534,EURUSD_ml_A,EURUSD,ml,A
435,435,0,0.354,0.042,0.55,1.062,-0.42,-0.2,0.0,-11.64,-1.56,2,534,EURUSD_ml_B,EURUSD,ml,B
1063,1063,0,0.3895,-0.0227,-0.56,0.965,-7.67,-3.69,-0.57,-12.88,-1.28,10,534,EURUSD_ml_C,EURUSD,ml,C
408,408,0,0.3088,-0.0231,-0.28,0.968,-9.68,-4.69,-0.19,-28.34,-3.33,3,534,EURUSD_ml_err_A,EURUSD,ml_err,A
399,399,0,0.3033,-0.0153,-0.18,0.979,-6.74,-3.24,-0.33,-19.92,-2.35,1,534,EURUSD_ml_err_B,EURUSD,ml_err,B
816,816,0,0.375,-0.0279,-0.59,0.957,-6.48,-3.12,-0.3,-11.8,-2.38,9,533,EURUSD_ml_err_C,EURUSD,ml_err,C
515,513,2,0.3216,0.0655,0.86,1.09,23.24,10.37,0.58,-23.53,-3.28,23,534,EURUSD_ml_rec_A,EURUSD,ml_rec,A
541,541,0,0.3179,-0.0248,-0.35,0.966,-11.2,-5.45,-0.49,-15.43,-1.76,6,534,EURUSD_ml_rec_B,EURUSD,ml_rec,B
1023,1023,0,0.3871,-0.0261,-0.64,0.959,-1.43,-0.68,0.02,-14.65,-2.34,14,534,EURUSD_ml_rec_C,EURUSD,ml_rec,C
305,304,1,0.2895,-0.0019,-0.02,0.998,-2.97,-1.42,-0.04,-32.43,-3.33,6,533,EURUSD_ta_A,EURUSD,ta,A
248,248,0,0.3669,0.0595,0.62,1.09,4.69,2.19,0.44,-6.92,-1.59,12,533,EURUSD_ta_B,EURUSD,ta,B
442,442,0,0.3914,0.0333,0.52,1.053,1.99,0.94,0.18,-11.43,-1.7,4,533,EURUSD_ta_C,EURUSD,ta,C
