ts,ret
2010-03-15 00:00:00-04:00,0.0
2010-03-16 00:00:00-04:00,0.0
2010-03-17 00:00:00-04:00,-0.0
2010-03-18 00:00:00-04:00,0.0
2010-03-19 00:00:00-04:00,-0.0
2010-03-21 00:00:00-04:00,0.0
2010-03-22 00:00:00-04:00,-0.0
2010-03-23 00:00:00-04:00,-0.0
2010-03-24 00:00:00-04:00,-0.0
2010-03-25 00:00:00-04:00,0.0
2010-03-26 00:00:00-04:00,0.0
2010-03-28 00:00:00-04:00,-0.0
2010-03-29 00:00:00-04:00,0.0
2010-03-30 00:00:00-04:00,-0.0
2010-03-31 00:00:00-04:00,0.0
2010-04-01 00:00:00-04:00,0.0
2010-04-02 00:00:00-04:00,0.0
2010-04-04 00:00:00-04:00,0.0
2010-04-05 00:00:00-04:00,0.0
2010-04-06 00:00:00-04:00,0.0
2010-04-07 00:00:00-04:00,0.0
2010-04-08 00:00:00-04:00,0.0
2010-04-09 00:00:00-04:00,0.0
2010-04-11 00:00:00-04:00,0.0
2010-04-12 00:00:00-04:00,-0.0
2010-04-13 00:00:00-04:00,0.0
2010-04-14 00:00:00-04:00,0.0
2010-04-15 00:00:00-04:00,-0.0
2010-04-16 00:00:00-04:00,-0.0
2010-04-18 00:00:00-04:00,-0.0
2010-04-19 00:00:00-04:00,0.0
2010-04-20 00:00:00-04:00,0.0
2010-04-21 00:00:00-04:00,0.0
2010-04-22 00:00:00-04:00,-0.0
2010-04-23 00:00:00-04:00,0.0
2010-04-25 00:00:00-04:00,0.0
2010-04-26 00:00:00-04:00,-0.0
2010-04-27 00:00:00-04:00,0.0
2010-04-28 00:00:00-04:00,0.0
2010-04-29 00:00:00-04:00,0.0
2010-04-30 00:00:00-04:00,0.0
2010-05-02 00:00:00-04:00,-0.0
2010-05-03 00:00:00-04:00,0.0
2010-05-04 00:00:00-04:00,-0.0
2010-05-05 00:00:00-04:00,0.0
2010-05-06 00:00:00-04:00,0.0
2010-05-07 00:00:00-04:00,0.0
2010-05-09 00:00:00-04:00,-0.0
2010-05-10 00:00:00-04:00,0.0
2010-05-11 00:00:00-04:00,0.0
2010-05-12 00:00:00-04:00,0.0
2010-05-13 00:00:00-04:00,-0.0
2010-05-14 00:00:00-04:00,-0.0
2010-05-16 00:00:00-04:00,0.0
2010-05-17 00:00:00-04:00,-0.0
2010-05-18 00:00:00-04:00,-0.0
2010-05-19 00:00:00-04:00,-0.0
2010-05-20 00:00:00-04:00,-0.0
2010-05-21 00:00:00-04:00,0.0
2010-05-23 00:00:00-04:00,0.0
2010-05-24 00:00:00-04:00,0.0
2010-05-25 00:00:00-04:00,0.0
2010-05-26 00:00:00-04:00,0.0
2010-05-27 00:00:00-04:00,-0.0
2010-05-28 00:00:00-04:00,0.0
2010-05-30 00:00:00-04:00,-0.0
2010-05-31 00:00:00-04:00,0.0
2010-06-01 00:00:00-04:00,0.0
2010-06-02 00:00:00-04:00,-0.0
2010-06-03 00:00:00-04:00,-0.0
2010-06-04 00:00:00-04:00,0.0
2010-06-06 00:00:00-04:00,-0.0
2010-06-07 00:00:00-04:00,0.0
2010-06-08 00:00:00-04:00,-0.0
2010-06-09 00:00:00-04:00,-0.0
2010-06-10 00:00:00-04:00,-0.0
2010-06-11 00:00:00-04:00,0.0
2010-06-13 00:00:00-04:00,0.0
2010-06-14 00:00:00-04:00,-0.0
2010-06-15 00:00:00-04:00,0.0
2010-06-16 00:00:00-04:00,-0.0
2010-06-17 00:00:00-04:00,0.0
2010-06-18 00:00:00-04:00,0.0
2010-06-20 00:00:00-04:00,0.0
2010-06-21 00:00:00-04:00,-0.0
2010-06-22 00:00:00-04:00,0.0
2010-06-23 00:00:00-04:00,-0.0
2010-06-24 00:00:00-04:00,0.0
2010-06-25 00:00:00-04:00,0.0
2010-06-27 00:00:00-04:00,0.0
2010-06-28 00:00:00-04:00,-0.0
2010-06-29 00:00:00-04:00,0.0
2010-06-30 00:00:00-04:00,-0.0
2010-07-01 00:00:00-04:00,-0.0
2010-07-02 00:00:00-04:00,0.0
2010-07-04 00:00:00-04:00,0.0
2010-07-05 00:00:00-04:00,-0.0
2010-07-06 00:00:00-04:00,-0.0
2010-07-07 00:00:00-04:00,0.0
2010-07-08 00:00:00-04:00,-0.0
2010-07-09 00:00:00-04:00,0.0
2010-07-11 00:00:00-04:00,-0.0
2010-07-12 00:00:00-04:00,-0.0
2010-07-13 00:00:00-04:00,0.0
2010-07-14 00:00:00-04:00,0.0
2010-07-15 00:00:00-04:00,-0.0
2010-07-16 00:00:00-04:00,-0.0
2010-07-18 00:00:00-04:00,0.0
2010-07-19 00:00:00-04:00,-0.0
2010-07-20 00:00:00-04:00,0.0
2010-07-21 00:00:00-04:00,-0.0
2010-07-22 00:00:00-04:00,0.0
2010-07-23 00:00:00-04:00,-0.0
2010-07-25 00:00:00-04:00,0.0
2010-07-26 00:00:00-04:00,-0.0
2010-07-27 00:00:00-04:00,-0.0
2010-07-28 00:00:00-04:00,0.0
2010-07-29 00:00:00-04:00,0.0
2010-07-30 00:00:00-04:00,0.0
2010-08-01 00:00:00-04:00,0.0
2010-08-02 00:00:00-04:00,0.0
2010-08-03 00:00:00-04:00,0.0
2010-08-04 00:00:00-04:00,0.0
2010-08-05 00:00:00-04:00,0.0
2010-08-06 00:00:00-04:00,0.0
2010-08-08 00:00:00-04:00,-0.0
2010-08-09 00:00:00-04:00,-0.0
2010-08-10 00:00:00-04:00,0.0
2010-08-11 00:00:00-04:00,-0.0
2010-08-12 00:00:00-04:00,0.0
2010-08-13 00:00:00-04:00,0.0
2010-08-15 00:00:00-04:00,0.0
2010-08-16 00:00:00-04:00,0.0
2010-08-17 00:00:00-04:00,0.0
2010-08-18 00:00:00-04:00,0.0
2010-08-19 00:00:00-04:00,0.0
2010-08-20 00:00:00-04:00,-0.0
2010-08-22 00:00:00-04:00,0.0
2010-08-23 00:00:00-04:00,-0.0
2010-08-24 00:00:00-04:00,0.005996582300980362
2010-08-25 00:00:00-04:00,0.006061892533327581
2010-08-26 00:00:00-04:00,-0.002165754860774817
2010-08-27 00:00:00-04:00,0.0011346051565355245
2010-08-29 00:00:00-04:00,-0.001883868339706262
2010-08-30 00:00:00-04:00,0.0012244369536696753
2010-08-31 00:00:00-04:00,0.00683183840039502
2010-09-01 00:00:00-04:00,-0.00041492150676078173
2010-09-02 00:00:00-04:00,0.0026246018851997857
2010-09-03 00:00:00-04:00,-0.002243488635023727
2010-09-05 00:00:00-04:00,0.0009338194570164225
2010-09-06 00:00:00-04:00,0.0003512107539399708
2010-09-07 00:00:00-04:00,0.006034066802273813
2010-09-08 00:00:00-04:00,-0.0012711872989862886
2010-09-09 00:00:00-04:00,-0.006896085407786295
2010-09-10 00:00:00-04:00,0.0005103516566740251
2010-09-12 00:00:00-04:00,-0.0001810357492150184
2010-09-13 00:00:00-04:00,0.003261057405667896
2010-09-14 00:00:00-04:00,0.015701559462190182
2010-09-15 00:00:00-04:00,-0.0011199357681159336
2010-09-16 00:00:00-04:00,0.006565509411694813
2010-09-17 00:00:00-04:00,-0.001109173218881322
2010-09-19 00:00:00-04:00,0.0027728734329410575
2010-09-20 00:00:00-04:00,0.0012418986598663616
2010-09-21 00:00:00-04:00,0.007613611231327685
2010-09-22 00:00:00-04:00,0.0039389711676551436
2010-09-23 00:00:00-04:00,0.0004825583951765004
2010-09-24 00:00:00-04:00,0.0027437042669870362
2010-09-26 00:00:00-04:00,-0.00028166802975175873
2010-09-27 00:00:00-04:00,-0.0021142503254931214
2010-09-28 00:00:00-04:00,0.013993455127296252
2010-09-29 00:00:00-04:00,-0.0010756893383838753
2010-09-30 00:00:00-04:00,0.002611739324871262
2010-10-01 00:00:00-04:00,0.007520790527422359
2010-10-03 00:00:00-04:00,-0.002478827194056175
2010-10-04 00:00:00-04:00,-0.001636696037730397
2010-10-05 00:00:00-04:00,0.026467755185875904
2010-10-06 00:00:00-04:00,0.007127834507614956
2010-10-07 00:00:00-04:00,-0.01587958765488468
2010-10-08 00:00:00-04:00,0.011195317091177546
2010-10-10 00:00:00-04:00,0.005114128666659929
2010-10-11 00:00:00-04:00,-0.0019666903054422033
2010-10-12 00:00:00-04:00,0.005499581629455463
2010-10-13 00:00:00-04:00,0.017620378184204127
2010-10-14 00:00:00-04:00,0.0011109434507664332
2010-10-15 00:00:00-04:00,-0.008290501591264869
2010-10-17 00:00:00-04:00,-0.008104273638582375
2010-10-18 00:00:00-04:00,0.008587823361767324
2010-10-19 00:00:00-04:00,-0.02526313050587211
2010-10-20 00:00:00-04:00,0.005202524242914285
2010-10-21 00:00:00-04:00,-0.011661690106201928
2010-10-22 00:00:00-04:00,0.0007418496556396795
2010-10-24 00:00:00-04:00,0.007036003064563615
2010-10-25 00:00:00-04:00,0.0006643169578017613
2010-10-26 00:00:00-04:00,-0.0014120278619197202
2010-10-27 00:00:00-04:00,-0.007243028992744972
2010-10-28 00:00:00-04:00,0.009669466158924894
2010-10-29 00:00:00-04:00,0.011888006328362928
2010-10-31 00:00:00-04:00,-0.0007017250705557951
2010-11-01 00:00:00-04:00,-0.0026557100615351883
2010-11-02 00:00:00-04:00,0.0002427192035713722
2010-11-03 00:00:00-04:00,0.0012550032555332174
2010-11-04 00:00:00-04:00,0.022014566466711696
2010-11-05 00:00:00-04:00,0.0018529947284542827
2010-11-07 00:00:00-04:00,-0.002295485005476862
2010-11-08 00:00:00-05:00,0.012520309716830873
2010-11-09 00:00:00-05:00,-0.007251302987814659
2010-11-10 00:00:00-05:00,0.004445683633165255
2010-11-11 00:00:00-05:00,-0.00936757926742146
2010-11-12 00:00:00-05:00,-0.011292203348474352
2010-11-14 00:00:00-05:00,0.0002657364850384082
2010-11-15 00:00:00-05:00,-0.0029630133385497893
2010-11-16 00:00:00-05:00,-0.013816214075595409
2010-11-17 00:00:00-05:00,0.005950879086210711
2010-11-18 00:00:00-05:00,0.0031876343825441686
2010-11-19 00:00:00-05:00,-0.001018170216140867
2010-11-21 00:00:00-05:00,0.004358788688520043
2010-11-22 00:00:00-05:00,-0.0015017254681122093
2010-11-23 00:00:00-05:00,0.008966502855285054
2010-11-24 00:00:00-05:00,-0.002731244992035505
