Datetime,open,high,low,close
2026-06-28,29369.96963898317,29547.90460053033,29229.363690348,29459.31040988587
2026-06-29,29457.07066911115,29993.364154613435,29140.271779531377,29965.74068505856
2026-06-30,29996.599335732473,30460.225676099417,29860.224008560665,30327.832110304884
2026-07-01,30313.39822531225,30335.54677297336,29815.926913238432,30033.679488558388
2026-07-02,30018.001303135352,30181.751239775956,29194.772138382887,29632.26816971143
2026-07-05,29793.77836557732,29874.409033467222,29547.65574044425,29583.242732753683
2026-07-06,29594.69029671336,29956.781721959684,29493.155381592744,29526.502633127457
2026-07-07,29530.982114676895,29608.37760144776,29076.812457580992,29336.373527362375
2026-07-08,29330.898605468617,29448.11170601227,28777.931494198976,29371.21393941357
2026-07-09,29372.20937975789,29856.739967355545,29328.16114452174,29794.027225663398
2026-07-10,29800.248727815397,29940.60581636449,29539.69221768969,29895.313280697937
2026-07-12,29757.942513181806,29904.023383710733,29546.66030009993,29559.84988466217
2026-07-13,29554.37496276841,29663.873400643584,29169.88612977489,29289.338971093264
2026-07-14,29272.416485239828,29882.37255622178,29237.32721310256,29877.1464944141
2026-07-15,29863.459189679703,29925.42535111361,29262.95980196879,29602.15609929576
2026-07-16,29591.7039756804,29661.135939696705,28770.465691616577,28790.374498502973
2026-07-17,28741.846781717384,28917.790862575905,28278.718161522604,28642.053887199323
2026-07-19,28602.733993598693,28831.436412706164,28578.843425335017,28762.7510289481
2026-07-20,28768.225950841857,29059.392251555397,28570.13332232222,28925.754385330463
2026-07-21,28943.17459135606,29230.85685086448,28884.194750955114,29063.871733104836
2026-07-22,29089.75318205715,29208.459443117285,28819.988848746485,28992.200028313808
2026-07-23,28965.074278931097,29050.184428370438,28302.857589872357,28356.113648293467
2026-07-24,28383.73711784834,28575.359384129897,28083.860714122,28153.29267813831
2026-07-26,28464.11892565216,28602.733993598693,28394.935821721938,28483.03229219424
2026-07-27,28483.5300123664,28632.099483756127,27805.137417712464,27922.848238428276
2026-07-28,27885.768085602365,28061.463306374808,27477.637544431254,27591.61546385587
2026-07-29,27573.697537658114,27971.37595521387,27077.4705260147,27396.01143619703
2026-07-30,27382.075271376554,28441.721517904967,27212.85041284219,28331.97421994371
2026-07-31,28329.73447916899,28594.770470844134,27951.71600841355,28274.736400145324
2026-08-02,28470.58928789024,28567.39586137534,28407.378826025935,28543.754153197744
2026-08-03,28538.279231303986,28915.551121801185,28184.4001888983,28871.254026478957
2026-08-04,28858.562162088878,29819.90867461571,28836.41361442776,29753.711891718445
2026-08-05,29760.431114042607,29936.872915073287,29319.9487616811,29429.198339470197
2026-08-06,29436.664142052596,29550.89092156329,29107.919968340986,29354.789173732293
2026-08-07,29361.75725614253,29731.563344057333,29319.20218142286,29698.71381269478
2026-08-09,29715.636298548216,29770.136657399722,29652.674696769987,29743.75748827525
2026-08-10,29742.01546767269,29847.283284084508,29530.733254590814,29697.96723243654
2026-08-11,29702.1978538999,29750.476710599407,29398.837408968444,29559.601024576088
2026-08-12,29558.60558423177,29864.952350196185,29532.972995365533,29741.76660758661
2026-08-13,29750.476710599407,30134.716683506846,29676.31640494758,30016.259282532792
2026-08-14,30020.73876408223,30144.919947036124,29891.580379406736,30004.313998400954
2026-08-16,30054.583735789103,30109.33295472669,30047.615653378863,30107.839794210213
2026-08-17,30108.83523455453,30204.64636769531,29716.880598978616,29763.666295161645
2026-08-18,29752.46759128805,29790.79204454436,29307.754617463183,29393.113626988605
2026-08-19,29382.412643287167,29621.567186009994,29241.806694651998,29477.974916341867
2026-08-20,29511.0733077905,29551.13978164937,29069.59551508467,29226.37736931504
2026-08-21,29228.1193899176,29404.3123308622,29086.76686102419,29253.751978783832
2026-08-23,29187.306335800487,29346.079070719494,29127.82877522738,29137.534318584498
2026-08-24,29138.778619014898,29170.38384994705,28814.76278693881,29024.800699590283
2026-08-25,29056.903650694596,29291.578711867987,28963.332258328537,29133.55255720722
2026-08-26,29131.81053660466,29519.534550717217,29000.412411154448,29399.58398922668
2026-08-27,29399.086269054522,29572.541749052245,29267.68814360431,29536.20817648457
2026-08-28,29510.824447704417,29675.569824689344,29302.030835483343,29357.27777459309
2026-08-30,29322.93508271406,29360.512955712133,29140.0229194453,29214.92980535536
2026-08-31,29218.662706646563,29403.56575060396,29199.998200190566,29348.318811494213
2026-09-01,29350.558552268933,29436.415281966514,28869.760865962475,28921.523763867106
2026-09-02,28922.270344125343,29109.661988943546,28795.35170022457,29098.712145156027
2026-09-03,29112.150589804343,29449.35600644267,28942.42801109782,29436.664142052596
2026-09-04,29429.447199556274,29569.057707847125,29333.636066415496,29430.442639900597
2026-09-08,29607.13330101736,29629.032988592393,29290.583271523665,29431.935800417075
2026-09-09,29442.139063946353,29498.6303034865,29199.251619932325,29290.334411437587
2026-09-10,29293.071872384466,29373.702540274367,28910.82278016567,28937.45080937622
2026-09-11,28949.64495359414,29365.73901751981,28922.768064297503,29257.73374016111
