Datetime,open,high,low,close
2026-06-28,4073.3041086563417,4075.8934758333835,4046.2138667029735,4066.7306320609664
2026-06-29,4066.3323426970833,4066.7306320609664,3939.4460563450352,3967.7316527018534
2026-06-30,3966.436847535382,4061.6513484699035,3965.2417362878323,3976.7948025553496
2026-07-01,3977.2927858381536,4114.337882528227,3956.9751651621027,4065.834359414279
2026-07-02,4065.6352147323373,4191.325903525035,4048.803233880016,4171.605960050709
2026-07-05,4170.609993485101,4198.497057322135,4155.869882838817,4160.152344546213
2026-07-06,4160.152344546213,4170.410605647259,4118.521136628502,4125.094126912078
2026-07-07,4125.691804113802,4175.490132394222,4086.15222324623,4117.027186780089
2026-07-08,4117.525170062894,4127.9828190017815,4016.2351758158015,4055.6755490762534
2026-07-09,4057.1694989246657,4131.667603507453,4049.5003618447613,4112.843932679814
2026-07-10,4112.146561559169,4113.839899245423,4065.236682212554,4097.107855467922
2026-07-12,4081.3712919442296,4085.6542399634254,4044.321384334778,4050.994311693174
2026-07-13,4051.6916828138196,4072.6069806915957,3974.3048861413286,4006.3752040786385
2026-07-14,4007.4706214072676,4095.912501064472,4003.6858998267758,4021.613298007727
2026-07-15,4020.6173314421185,4072.6069806915957,4007.0723320433844,4024.4020530226103
2026-07-16,4025.4977135071395,4035.4573791632233,3957.3734545259863,3979.583557570233
2026-07-17,3978.886429605487,4012.6495989172513,3947.015499506019,4002.5904824981467
2026-07-19,3984.8622289991376,4017.928270346156,3970.420713797816,4011.554181588622
2026-07-20,4012.4504542353097,4040.8355013551486,3985.4599062008624,4034.5608633606357
2026-07-21,4035.3576852443025,4129.277381012353,4032.0709469466146,4118.819732073465
2026-07-22,4118.421442709581,4154.574834516446,4058.165465490274,4110.951693467518
2026-07-23,4111.051387386439,4116.728105023327,4009.064265174601,4014.8409198863096
2026-07-24,4015.040064568251,4068.722565192183,4007.7694600081304,4054.3807439097823
2026-07-26,4074.997203186696,4102.684879185889,4069.3202423939083,4075.9931697523043
2026-07-27,4076.4911530351087,4091.729246964197,4024.4020530226103,4033.2663013500646
2026-07-28,4032.66862414834,4039.242100743715,3993.1288001248668,4005.2795435941093
2026-07-29,4005.7775268769133,4159.952956708371,4003.0884657809506,4097.506144831806
2026-07-30,4099.298690125181,4163.33963208088,4068.5234205102415,4116.429509578365
2026-07-31,4115.931526295561,4128.580009891707,4059.9580107836496,4090.434684953626
2026-08-02,4114.437576447148,4119.118327518428,4086.15222324623,4103.382250306535
2026-08-03,4103.780539670418,4110.652611710756,4057.5677882885493,4091.630039357076
2026-08-04,4090.8329743175095,4176.884388323714,4084.857174923859,4169.713720838413
2026-08-05,4169.215737555609,4346.099496870018,4169.116043636688,4307.455702337333
2026-08-06,4307.057412973449,4326.678148840654,4263.932255207326,4305.364075287195
2026-08-07,4307.853991701216,4414.4224142213125,4302.774951266053,4381.954293231919
2026-08-09,4380.260955545665,4390.220621201749,4356.258064052143,4370.10190205174
2026-08-10,4370.002694444619,4476.869712409678,4357.353724536672,4458.942314228728
2026-08-11,4458.444330945923,4462.228809370516,4397.8897582816535,4443.80342790676
2026-08-12,4444.401105108485,4490.9129382471165,4422.091551301217,4440.317544927131
2026-08-13,4440.7163206028135,4447.190103279268,4347.892042163393,4361.935268000831
2026-08-14,4361.536978636947,4436.632760421459,4347.991736082314,4419.402247049355
2026-08-16,4415.8171564626045,4455.157835804135,4404.462748565229,4435.736487774772
2026-08-17,4435.537099936931,4474.977473197382,4415.518074705842,4430.158977745005
2026-08-18,4429.46160662436,4444.99878231021,4360.341624233498,4391.216587767357
2026-08-19,4391.116893848437,4565.311348910983,4370.500677727423,4537.325077466827
2026-08-20,4538.021962275673,4581.744797243521,4487.82534463137,4572.3828087891625
2026-08-21,4572.980485990887,4671.481482067196,4566.904992678316,4661.721204248954
2026-08-23,4656.541983583071,4694.787002440073,4633.037075372353,4679.250313066022
2026-08-24,4679.250313066022,4735.821019467858,4651.661844673949,4669.389855017059
2026-08-25,4670.4855155015875,4711.818127974336,4640.706212452257,4682.138518843925
2026-08-26,4680.843470521555,4687.31725319801,4619.492319129518,4660.127560481621
2026-08-27,4660.824931602267,4662.916072340604,4597.381666848292,4612.719454696302
2026-08-28,4613.615727342989,4669.091259572096,4476.869712409678,4511.6288482870505
2026-08-30,4488.123940076333,4503.262826398301,4427.669061330984,4453.962481400686
2026-08-31,4454.261076845648,4496.689349802925,4444.500799027406,4468.901979884811
2026-09-01,4467.60741787424,4476.571116964716,4311.7386503565285,4331.259205993013
2026-09-02,4332.354866477542,4460.137668632177,4330.263239427404,4459.042008147648
2026-09-03,4459.24090967369,4540.113589325811,4444.7993944723685,4495.593689318396
2026-09-04,4494.89680450955,4519.496886892997,4394.204487464182,4458.544024864844
2026-09-08,4465.416096905182,4470.694525178186,4363.3295239303225,4402.570509352933
2026-09-09,4400.877657978479,4460.9342473599445,4396.395808433241,4423.087517866826
