Datetime,open,high,low,close
2026-08-30,65655.48917349706,65705.86980866513,64819.24873921895,65695.14537268283
2026-08-31,65688.91223363414,66394.9050568382,65563.60895466263,66217.37775821805
2026-09-01,66221.98621941947,66512.51454888869,64221.57428162624,64363.24931428958
2026-09-02,64348.54910415216,64711.9770410669,64127.323439106,64545.1312181975
2026-09-03,64546.91992601975,64949.89080332803,63760.1579620474,64904.27875386075
2026-09-04,64903.23208640145,65169.52693980726,64781.72492970772,65041.66166884581
2026-09-06,65587.41673388625,66655.49401040057,65587.41673388625,66249.51201140898
2026-09-07,66253.65181553907,66778.602412088,65750.07198144282,66612.6040774226
2026-09-08,66611.4090018907,66628.53841784784,65063.29019268773,65239.73567456823
2026-09-09,65242.95378645803,65313.2289143041,64173.95481770343,64738.29213562213
2026-09-10,64734.835789721066,65130.5541988505,63196.09793289591,63384.32232916918
