Date,open,high,low,close,volume
2009-01-02,6.135572783124676,6.361203403379698,6.088071619781813,6.329535961151123,8959600
2009-01-05,6.2899515371003325,6.349328271481629,6.222658131304931,6.309743404388428,12531400
2009-01-06,6.38099425500138,6.51162251230235,6.3493268215651195,6.456203937530518,16853800
2009-01-07,6.357244684491401,6.357244684491401,6.20286600272026,6.250367164611816,12422000
2009-01-08,6.2068238082490135,6.305784645102445,6.171197846580877,6.293909072875977,11421600
2009-01-09,6.293909467168011,6.309743186956263,6.13161374496201,6.155364513397217,7885600
2009-01-12,6.175154818610191,6.175154818610191,5.997025055040145,6.04452657699585,10259200
2009-01-13,6.0643206387746895,6.099946604421151,5.969318315387908,6.016819477081299,17308400
2009-01-14,5.949526148810408,5.98119359035719,5.803064137280122,5.834731578826904,17025800
2009-01-15,5.830772725874189,5.925775422669764,5.688269246939316,5.8743157386779785,15304600
2009-01-16,5.985152792502862,6.00098651506878,5.791189596693935,5.913900852203369,14892800
2009-01-20,5.902025393120142,5.929734312006208,5.6605610403134206,5.672436237335205,33716200
2009-01-21,5.810979403339027,5.949524323217707,5.7199352536993775,5.945566177368164,11724800
2009-01-22,5.818898900377387,5.9099430942621485,5.715979508161829,5.8109822273254395,14986000
2009-01-23,5.7041018848833085,6.0009843594817225,5.696185215196923,5.894106864929199,14874600
2009-01-26,5.929732300805974,6.076194650256758,5.913898584312049,5.965358257293701,14685600
2009-01-27,5.985149999879341,6.0682770989403965,5.9416073775161395,6.000983715057373,12281000
2009-01-28,6.092028825960927,6.2464074790371935,6.060361390586021,6.171197414398193,14272800
2009-01-29,6.115780719338808,6.115780719338808,5.961402028257176,5.989110946655273,10149800
2009-01-30,6.0207791595296545,6.0207791595296545,5.8109822273254395,5.8109822273254395,10148800
2009-02-02,5.77931350932515,5.981193346581438,5.763479789197095,5.902024745941162,9860600
2009-02-03,5.9297349393618015,6.048488054660639,5.854524846925795,6.020779132843018,12651800
