Date,open,high,low,close,volume
2009-01-02,70.90484539920672,71.14109283502414,68.71952056884766,68.71952056884766,3464200
2009-01-05,68.27656716485362,68.607321769828,66.50468391054358,66.9476547241211,5395200
2009-01-06,65.92581644202475,66.89444478879575,65.55962591829294,66.27428436279297,4109300
2009-01-07,66.1266604915346,66.55191305195132,65.7959105028241,66.53419494628906,2565600
2009-01-08,66.5283075135111,66.69368255784177,66.14439858566803,66.4810562133789,2603600
2009-01-09,65.83133675273594,66.94762230185133,65.71911609234837,66.58143615722656,2727900
2009-01-12,65.89638771076021,67.36114762094657,65.89638771076021,67.27255249023438,2462800
2009-01-13,67.03624410824641,67.3788092565267,66.7173046087577,67.34336853027344,1767400
2009-01-14,67.71552637000866,68.53649923587285,67.71552637000866,68.45381164550781,2494800
2009-01-15,68.63092551239758,69.05617810658588,68.26473928328177,68.56595611572266,2827200
2009-01-16,66.98897292051647,68.5659473335374,66.95353671091658,67.50872802734375,2994800
2009-01-20,66.32157762299035,67.7036441248659,66.28614140688008,67.4969253540039,3268300
2009-01-21,66.10896117416368,66.76455830677297,65.20530147952168,65.3647689819336,2838100
2009-01-22,65.32340360534631,65.42380920349632,63.71689601042442,64.1067123413086,4016600
2009-01-23,63.740536205289395,63.976788171329474,63.0140667044206,63.60469436645508,2676200
2009-01-26,63.45111496343176,63.68145933686522,62.783707484782326,63.04948806762695,2240900
2009-01-27,63.66965901109543,64.72687848172482,63.569248891394324,64.53197479248047,3420800
2009-01-28,64.56149962298788,64.85681341433795,62.44114876403728,62.9195556640625,4348100
2009-01-29,62.3466413371551,62.789611989716086,61.22445262223833,61.47251510620117,3724400
2009-01-30,61.750122328502044,61.939122995395344,61.09452527949968,61.277618408203125,2630000
2009-02-02,61.60631142525628,62.58945606931826,61.23319271497308,62.417701721191406,2700200
2009-02-03,61.772134115715986,62.086028216559356,60.854138012250495,60.931129455566406,2846400
2009-02-04,60.85417330387548,60.92524549791386,60.18492708789105,60.717952728271484,2305400
2009-02-05,61.14437432972698,61.523416978517986,60.53435270803348,60.77125549316406,2279500
2009-02-06,60.558020094194575,60.91929568557981,60.35073193156609,60.58171081542969,1667500
2009-02-09,60.22635241822045,60.806759209823454,59.85322924793311,60.77714920043945,2257300
2009-02-10,61.65961047940687,62.163025852715265,61.26872037776375,62.097877502441406,3782800
2009-02-11,62.60730710397044,63.075189332323454,62.500700969427356,62.90343475341797,2774200
2009-02-12,62.767142377794315,62.885591486379106,62.03274344522829,62.31110382080078,1818400
2009-02-13,61.56487745207259,61.56487745207259,60.546203110793016,60.652809143066406,2466800
2009-02-17,61.92022668599229,62.577629721939914,61.80177304252974,62.542091369628906,2813900
2009-02-18,62.81453431814696,63.1106616789054,61.772169261629585,62.00906753540039,2768600
2009-02-19,60.81858371989594,61.62996906169744,60.54614733694777,60.95479965209961,3219400
2009-02-20,61.75437297375645,62.28148362085261,61.179889920641216,61.54708480834961,4272000
2009-02-23,61.357621663993584,62.115707397460945,61.10295181429307,62.11570739746094,2688700
2009-02-24,62.60138431823783,63.18179650888911,62.05058670043945,62.05058670043945,4197100
2009-02-25,62.32887698245734,62.47694064230067,61.019994771667584,61.33388900756836,3908100
2009-02-26,60.92522669641761,61.15620560758114,60.39812051262968,60.688323974609375,2611100
2009-02-27,60.74758555390753,61.00817915859487,59.942118519916036,60.33892822265625,3267700
2009-03-02,60.70834400577346,61.33787536621093,60.631134251772664,61.33787536621094,3302000
2009-03-03,60.7142744900935,61.51009668321577,60.46483355797495,60.92807388305664,3084900
2009-03-04,60.27479330693925,60.72615770380931,60.07881012912647,60.64895248413086,3178400
2009-03-05,61.77728647834146,62.620625334676575,61.43282897874467,62.33555221557617,4562400
2009-03-06,61.91990661621094,62.93547329043757,61.81894034974508,61.91990661621094,3125900
2009-03-09,62.068359025914376,62.09211551941325,61.24284013395186,61.5576057434082,2070500
2009-03-10,60.83300543423818,61.0230527164426,60.28662006428606,60.37570571899414,2602600
2009-03-11,60.15601685909697,61.029048919677734,59.942212904216426,61.029048919677734,3101500
2009-03-12,60.9696360075808,61.74764176901795,60.761767860585444,61.32003402709961,3558900
2009-03-13,61.023079743917336,61.694183515262665,60.77364342512562,61.01120376586914,2504000
2009-03-16,59.876871602522655,60.251026182636046,59.68682418437314,60.049102783203125,3265600
2009-03-17,60.41140191611887,60.7736806380889,59.62151522519475,59.722476959228516,3076200
2009-03-18,60.055024814330594,64.1826180486011,59.924366404425086,61.98519515991211,8578800
2009-03-19,62.72759969482971,62.75135619313853,61.89614037837628,62.06243133544922,3650900
2009-03-20,62.13368454306541,62.35936442120778,61.634807271530214,61.717952728271484,3479700
2009-03-23,61.93767959030337,62.01488476969869,61.15373369482349,61.18342590332031,2097000
2009-03-24,60.69051333427062,62.45439330668999,60.53609839407251,61.76546859741211,5477100
2009-03-25,61.343801130762635,61.59917776909225,60.761778374422654,60.93400955200195,2549600
2009-03-26,60.83900355102738,61.80111684991754,60.672712587322366,61.64076614379883,2385300
2009-03-27,61.85447324849308,62.317712930884134,61.50407109701662,62.09796905517578,1853900
2009-03-30,62.620625334676575,62.876001732445275,61.72977806772765,62.33555221557617,2300100
2009-03-31,62.383068443754155,62.834432351490534,62.35931197165395,62.78097915649414,1094600
2009-04-01,63.205111446569184,63.46717251337413,62.853704873434914,63.35401153564453,2383400
2009-04-02,63.06808082232376,63.17528899930274,62.442699032601865,62.579689025878906,1766300
2009-04-03,62.48439967431952,62.63329967787772,61.14429964229563,61.29915237426758,3316800
2009-04-06,61.66842485053712,61.698202124244084,60.882233028408294,61.03709030151367,1418100
2009-04-07,61.07288304629835,61.53149348620635,61.037148466170166,61.19200134277344,1312600
2009-04-08,61.38852138513302,61.85904615704257,61.3170477148445,61.733970642089844,1007800
2009-04-09,61.031159947038496,61.45403559035357,60.739317089215014,60.959686279296875,1088800
2009-04-13,61.322963125454564,61.65054487721974,61.305095856097644,61.51951217651367,946600
2009-04-14,61.49565756260872,62.06743262274575,61.305065875896375,61.84110641479492,1336000
2009-04-15,62.019856235104776,62.12111173736424,61.27535587652692,61.733970642089844,1152500
2009-04-16,61.257465879615744,61.61482501040408,61.215774056758235,61.24555587768555,1055600
2009-04-17,61.03113962089515,61.174082364702556,60.37598045570436,60.57252502441406,2582800
2009-04-20,61.126414541704385,61.58502899768171,61.01920638067677,61.48973083496094,1714400
2009-04-21,61.96625942671855,62.06751039313757,60.88226699829101,60.882266998291016,909100
2009-04-22,61.01919838001701,61.0847147222806,60.22109682017458,60.512939453125,2278100
2009-04-23,60.364057246190264,60.602298147722024,60.11986361656895,60.50699996948242,1688300
2009-04-24,60.03054984159292,60.14371534338135,59.61958421431434,59.89951705932617,2830000
2009-04-27,60.197293320742766,60.268766958390984,59.595736033389215,60.155601501464844,2294600
2009-04-28,60.453404000137304,60.50105309386637,59.01800572400619,59.1728630065918,2332500
2009-04-29,59.363460979393714,59.60765920197001,58.45815082521338,58.64874267578125,3752600
2009-04-30,58.356914272711975,58.58324073098729,58.005507763630824,58.416473388671875,2778100
2009-05-01,58.02042926089256,58.12198781172487,57.691852116583206,58.01445388793945,2772200
2009-05-04,58.16375176523779,58.4385594110243,57.82322875221213,58.205570220947266,2246700
2009-05-05,58.223489075165794,58.44453207820059,57.80530453739144,58.13387680053711,1369000
2009-05-06,58.02033396744363,58.54605197701751,57.94864328337447,57.996437072753906,2045900
2009-05-07,57.315493032473434,57.76952116206282,56.35366296767601,56.5806770324707,5755200
2009-05-08,56.765837382204765,56.98688049402829,56.53882345823845,56.718048095703125,2193400
2009-05-11,57.38118582807495,57.62014598814801,57.22585807772915,57.52456283569336,2167400
2009-05-12,57.45880823230501,57.960629695619126,57.23179441193002,57.73361587524414,2304800
2009-05-13,58.16376237063633,58.504285445751904,58.09207162297544,58.36090850830078,1917500
2009-05-14,58.307149473384555,58.69546644797343,58.12792940979301,58.58793258666992,1704600
2009-05-15,58.54610277939836,58.57597506314832,58.223501257955164,58.56999969482422,2306600
2009-05-18,58.552026530748314,58.61176648771347,57.57227665134688,57.66188430786133,2234700
2009-05-19,57.464753461481905,57.632027194857805,57.1779952343608,57.35721969604492,1624300
2009-05-20,57.30947364162258,58.04428907724277,57.24973362391577,57.96064758300781,2825700
2009-05-21,58.27730550821619,58.33107018185838,56.36559214517632,56.50299835205078,4771700
2009-05-22,56.048943528691865,56.4492066885479,55.76816041247684,55.875694274902344,4483400
2009-05-26,56.18632877789241,56.21619649875519,55.033329010009766,55.033329010009766,3633100
2009-05-27,55.105017223118324,55.3081386986939,53.99383586966892,54.05955123901367,7490200
2009-05-28,54.824236982404045,54.94969691778719,53.904230880642515,54.8421630859375,9824300
2009-05-29,54.782443168162,56.29389286185667,54.7466000607108,56.2580451965332,4746700
2009-06-01,55.34400601058678,55.36798057195966,54.283157962746984,54.594818115234375,6987000
2009-06-02,54.90644946297474,55.00234307749287,54.40898790542257,54.88846969604492,5063600
2009-06-03,55.116240573152744,55.50581909457432,54.73865161572013,55.4039306640625,6727200
2009-06-04,54.79861742444582,54.97242962142361,54.08538885282691,54.25920104980469,5438600
2009-06-05,53.88761246401545,54.480968253694925,53.67184589091709,53.84565353393555,8439600
2009-06-08,54.18726098350429,54.379052890104425,53.62986504046641,53.70777893066406,4084000
2009-06-09,54.05538589746974,54.1273049815123,53.491995351518824,53.70176696777344,6046300
2009-06-10,53.264255412848165,53.5998900709967,52.47910351942316,52.85669708251953,12142000
2009-06-11,52.59899105848464,53.65384444356481,52.55703671444942,53.44407272338867,10692800
2009-06-12,53.59392030868515,54.33112343148512,53.59392030868515,53.92356491088867,6606800
