Date,open,high,low,close
1998-01-02,970.4299926757812,975.0399780273438,965.72998046875,975.0399780273438
1998-01-05,975.0399780273438,982.6300048828125,969.0,977.0700073242188
1998-01-06,977.0700073242188,977.0700073242188,962.6799926757812,966.5800170898438
1998-01-07,966.5800170898438,966.5800170898438,952.6699829101562,964.0
1998-01-08,964.0,964.0,955.0399780273438,956.0499877929688
1998-01-09,956.0499877929688,956.0499877929688,921.719970703125,927.6900024414062
1998-01-12,927.6900024414062,939.25,912.8300170898438,939.2100219726562
1998-01-13,939.2100219726562,952.1400146484375,939.2100219726562,952.1199951171875
1998-01-14,952.1199951171875,958.1199951171875,948.0,957.9400024414062
1998-01-15,957.9400024414062,957.9400024414062,950.27001953125,950.72998046875
1998-01-16,950.72998046875,965.1199951171875,950.72998046875,961.510009765625
1998-01-20,961.510009765625,978.5999755859375,961.47998046875,978.5999755859375
1998-01-21,978.5999755859375,978.5999755859375,963.2899780273438,970.8099975585938
1998-01-22,970.8099975585938,970.8099975585938,959.489990234375,963.0399780273438
1998-01-23,963.0399780273438,966.4400024414062,950.8599853515625,957.5900268554688
1998-01-26,957.5900268554688,963.0399780273438,954.239990234375,956.9500122070312
1998-01-27,956.9500122070312,973.22998046875,956.260009765625,969.02001953125
1998-01-28,969.02001953125,978.6300048828125,969.02001953125,977.4600219726562
1998-01-29,977.4600219726562,992.6500244140625,975.2100219726562,985.489990234375
1998-01-30,985.489990234375,987.4099731445312,979.6300048828125,980.280029296875
1998-02-02,980.280029296875,1002.47998046875,980.280029296875,1001.27001953125
1998-02-03,1001.27001953125,1006.1300048828125,996.9000244140625,1006.0
1998-02-04,1006.0,1009.52001953125,999.4299926757812,1006.9000244140625
1998-02-05,1006.9000244140625,1013.510009765625,1000.27001953125,1003.5399780273438
1998-02-06,1003.5399780273438,1013.0700073242188,1003.3599853515625,1012.4600219726562
1998-02-09,1012.4600219726562,1015.3300170898438,1006.280029296875,1010.739990234375
1998-02-10,1010.739990234375,1022.1500244140625,1010.7100219726562,1019.010009765625
1998-02-11,1019.010009765625,1020.7100219726562,1016.3800048828125,1020.010009765625
1998-02-12,1020.010009765625,1026.300048828125,1008.5499877929688,1024.1400146484375
1998-02-13,1024.1400146484375,1024.1400146484375,1017.7100219726562,1020.0900268554688
1998-02-17,1020.0900268554688,1028.02001953125,1020.0900268554688,1022.760009765625
1998-02-18,1022.760009765625,1032.0799560546875,1021.7000122070312,1032.0799560546875
1998-02-19,1032.0799560546875,1032.9300537109375,1026.6199951171875,1028.280029296875
1998-02-20,1028.280029296875,1034.2099609375,1022.6900024414062,1034.2099609375
1998-02-23,1034.2099609375,1038.6800537109375,1031.760009765625,1038.1400146484375
1998-02-24,1038.1400146484375,1038.72998046875,1028.8900146484375,1030.56005859375
1998-02-25,1030.56005859375,1045.7900390625,1030.56005859375,1042.9000244140625
1998-02-26,1042.9000244140625,1048.6800537109375,1039.8499755859375,1048.6700439453125
1998-02-27,1048.6700439453125,1051.6600341796875,1044.4000244140625,1049.3399658203125
1998-03-02,1049.3399658203125,1053.97998046875,1044.699951171875,1047.699951171875
1998-03-03,1047.699951171875,1052.02001953125,1043.4100341796875,1052.02001953125
1998-03-04,1052.02001953125,1052.02001953125,1042.739990234375,1047.3299560546875
1998-03-05,1047.3299560546875,1047.3299560546875,1030.8699951171875,1035.050048828125
1998-03-06,1035.050048828125,1055.68994140625,1035.050048828125,1055.68994140625
1998-03-09,1055.68994140625,1058.550048828125,1050.02001953125,1052.31005859375
1998-03-10,1052.31005859375,1064.5899658203125,1052.31005859375,1064.25
1998-03-11,1064.25,1069.1800537109375,1064.219970703125,1068.469970703125
1998-03-12,1068.469970703125,1071.8699951171875,1063.5400390625,1069.9200439453125
1998-03-13,1069.9200439453125,1075.8599853515625,1066.5699462890625,1068.6099853515625
1998-03-16,1068.6099853515625,1079.4599609375,1068.6099853515625,1079.27001953125
1998-03-17,1079.27001953125,1080.52001953125,1073.2900390625,1080.449951171875
1998-03-18,1080.449951171875,1085.52001953125,1077.77001953125,1085.52001953125
1998-03-19,1085.52001953125,1089.739990234375,1084.300048828125,1089.739990234375
1998-03-20,1089.739990234375,1101.0400390625,1089.3900146484375,1099.1600341796875
1998-03-23,1099.1600341796875,1101.1600341796875,1094.25,1095.550048828125
1998-03-24,1095.550048828125,1106.75,1095.550048828125,1105.6500244140625
1998-03-25,1105.6500244140625,1113.0699462890625,1092.8399658203125,1101.9300537109375
1998-03-26,1101.9300537109375,1106.280029296875,1097.0,1100.800048828125
1998-03-27,1100.800048828125,1107.1800537109375,1091.1400146484375,1095.43994140625
1998-03-30,1095.43994140625,1099.0999755859375,1090.02001953125,1093.5999755859375
1998-03-31,1093.550048828125,1110.1300048828125,1093.550048828125,1101.75
1998-04-01,1101.75,1109.18994140625,1095.2900390625,1108.1500244140625
1998-04-02,1108.1500244140625,1121.010009765625,1107.8900146484375,1120.010009765625
1998-04-03,1120.010009765625,1126.3599853515625,1118.1199951171875,1122.699951171875
1998-04-06,1122.699951171875,1131.989990234375,1121.3699951171875,1121.3800048828125
1998-04-07,1121.3800048828125,1121.3800048828125,1102.43994140625,1109.550048828125
1998-04-08,1109.550048828125,1111.5999755859375,1098.2099609375,1101.6500244140625
1998-04-09,1101.6500244140625,1111.449951171875,1101.6500244140625,1110.6700439453125
1998-04-13,1110.6700439453125,1110.75,1100.5999755859375,1109.68994140625
1998-04-14,1109.68994140625,1115.949951171875,1109.47998046875,1115.75
1998-04-15,1115.75,1119.9000244140625,1112.239990234375,1119.3199462890625
1998-04-16,1119.3199462890625,1119.3199462890625,1105.27001953125,1108.1700439453125
1998-04-17,1108.1700439453125,1122.719970703125,1104.949951171875,1122.719970703125
