sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
220724,220725,220767,-1,-1.0397365049593603,1.0,stop,0.0032715509361747,0.004,RULE:smc_C
229696,229697,229706,1,-1.067323510713313,1.0,stop,0.0019309747608631,0.004,RULE:smc_C
229801,229802,229898,1,0.0390004984352699,1.0,time,0.0023076628148523,0.004,RULE:smc_C
229905,229906,230002,-1,1.335409569905319,1.0,time,0.0025535237105134,0.004,RULE:smc_C
236860,236861,236957,-1,1.035774185479806,1.0,time,0.0019695412654592,0.004,RULE:smc_C
237696,237697,237702,1,-1.1770035385175557,1.0,stop,0.0007344485940161,0.004,RULE:smc_C
241351,241352,241354,1,-1.099404235182588,1.0,stop,0.0013077913608139,0.004,RULE:smc_C
243402,243403,243458,-1,-1.0473900575870465,1.0,stop,0.0027431914333786,0.004,RULE:smc_C
243785,243786,243850,1,-1.074099070530805,1.0,stop,0.0017544079712317,0.004,RULE:smc_C
244532,244533,244629,-1,0.0273398382222743,1.0,time,0.0021945996721708,0.004,RULE:smc_C
247424,247425,247453,-1,-1.042013580459029,1.0,stop,0.0030942375912683,0.004,RULE:smc_C
252259,252260,252356,1,0.3714007706490224,1.0,time,0.0022078575619726,0.004,RULE:smc_C
254462,254463,254466,-1,-1.0277421918045069,1.0,stop,0.00468600321547,0.004,RULE:smc_C
256647,256648,256655,1,1.4640881199279367,1.0,target,0.0022276750712955,0.004,RULE:smc_C
257130,257131,257132,1,-1.0413686097663708,1.0,stop,0.0031424793033723,0.004,RULE:smc_C
261826,261827,261837,-1,1.4395102912904705,1.0,target,0.0013225390187305,0.004,RULE:smc_C
262310,262311,262336,-1,1.465370846711152,1.0,target,0.0023101922051866,0.004,RULE:smc_C
265117,265118,265162,-1,-1.0363846094576363,1.0,stop,0.0035729392712451,0.004,RULE:smc_C
273182,273183,273224,1,1.4682845900439443,1.0,target,0.0025224331046314,0.004,RULE:smc_C
278803,278804,278809,1,-1.0672083646669035,1.0,stop,0.0019342830411721,0.004,RULE:smc_C
280199,280200,280218,-1,1.4350687712280952,1.0,target,0.0012320727870547,0.004,RULE:smc_C
282735,282736,282808,-1,-1.0556339745748862,1.0,stop,0.0023367016466731,0.004,RULE:smc_C
289315,289316,289333,-1,-1.1103713781101263,1.0,stop,0.0011778415946785,0.004,RULE:smc_C
291288,291289,291308,1,1.4448468052047243,1.0,target,0.0014505052752944,0.004,RULE:smc_C
294834,294835,294841,1,-1.066665977325126,1.0,stop,0.0019500201634501,0.004,RULE:smc_C
296963,296964,297041,1,-1.0434339240569883,1.0,stop,0.0029930521550283,0.004,RULE:smc_C
298765,298766,298862,1,0.2234899813362318,1.0,time,0.0021924920171825,0.004,RULE:smc_C
299058,299059,299084,-1,-1.0766882237652506,1.0,stop,0.0016951755252285,0.004,RULE:smc_C
307329,307330,307395,1,-1.021662421432473,1.0,stop,0.0060011758337057,0.004,RULE:smc_C
309028,309029,309032,-1,-1.076643402766509,1.0,stop,0.0016961668624779,0.004,RULE:smc_C
309344,309345,309425,-1,1.4891758689218644,1.0,target,0.0073908934973632,0.004,RULE:smc_C
317186,317187,317202,1,-1.0474518193594209,1.0,stop,0.0027396209830294,0.004,RULE:smc_C
318652,318653,318753,1,1.4831129690752165,1.0,target,0.004737363267491,0.004,RULE:smc_C
324999,325000,325192,1,-0.2440008539546406,1.0,time,0.004221296701657,0.004,RULE:smc_C
326852,326853,326856,1,-1.0818691652201742,1.0,stop,0.0015878994203799,0.004,RULE:smc_C
327819,327820,327950,1,-1.0174331990836811,1.0,stop,0.0074570363922359,0.004,RULE:smc_C
329813,329814,329816,1,-1.0892364043549358,1.0,stop,0.0014568045512348,0.004,RULE:smc_C
332526,332527,332529,1,-1.1408369472811295,1.0,stop,0.0009230532364536,0.004,RULE:smc_C
337953,337954,337962,1,1.4494732485125297,1.0,target,0.0015833196800698,0.004,RULE:smc_C
348307,348308,348327,-1,1.388982838273365,1.0,target,0.0007206093072087,0.004,RULE:smc_C
355141,355142,355166,-1,1.4394157158098193,1.0,target,0.0013204744608186,0.004,RULE:smc_C
364824,364825,364845,1,-1.077566662174699,1.0,stop,0.0016759777506902,0.004,RULE:smc_C
374462,374463,374472,-1,-1.0528412757268353,1.0,stop,0.0024601979837153,0.004,RULE:smc_C
376426,376427,376619,1,0.1543724685842663,1.0,time,0.0077086284291041,0.004,RULE:smc_C
377140,377141,377182,-1,-1.0286276505141771,1.0,stop,0.0045410642391252,0.004,RULE:smc_C
378458,378459,378505,1,1.4717908508666744,1.0,target,0.002835959341485,0.004,RULE:smc_C
