sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
154043,154044,154124,-1,-1.05548266197455,1.0,stop,24.692398512321237,0.004,RULE:ta_C
154058,154059,154129,-1,-1.069896840831084,1.0,stop,19.600313600879417,0.004,RULE:ta_C
155621,155622,155638,-1,-1.1396894457272586,1.0,stop,9.807469654328088,0.004,RULE:ta_C
156226,156227,156227,-1,-1.1199953734696269,1.0,stop,11.417106846596653,0.004,RULE:ta_C
156681,156682,156682,-1,-1.094194642041488,1.0,stop,14.544351677631312,0.004,RULE:ta_C
156692,156693,156702,-1,-1.0481907481588926,1.0,stop,28.42869331438669,0.004,RULE:ta_C
156696,156697,156700,-1,-1.0552603078415697,1.0,stop,24.791754760537515,0.004,RULE:ta_C
156764,156765,156765,1,-1.1895477963940708,1.0,stop,7.227728446664514,0.004,RULE:ta_C
156777,156778,156779,1,-1.1081132112305687,1.0,stop,12.671901837031328,0.004,RULE:ta_C
156861,156862,156867,-1,1.952088946403528,1.0,target,12.940646332303912,0.004,RULE:ta_C
157027,157028,157047,-1,1.9488581719939773,1.0,target,12.123148979480902,0.004,RULE:ta_C
157194,157195,157196,1,-1.1237075281362991,1.0,stop,11.074507919118332,0.004,RULE:ta_C
157197,157198,157203,1,-1.1118171160093588,1.0,stop,12.252149303200897,0.004,RULE:ta_C
159321,159322,159325,1,-1.2621685941580565,1.0,stop,5.225644987721353,0.004,RULE:ta_C
159323,159324,159325,1,-1.2529980156255582,1.0,stop,5.41506223522174,0.004,RULE:ta_C
159326,159327,159329,1,-1.21604903354717,1.0,stop,6.341153105417106,0.004,RULE:ta_C
159612,159613,159636,-1,-1.0536189239599287,1.0,stop,25.55068059597488,0.004,RULE:ta_C
159626,159627,159641,-1,-1.0871434874549728,1.0,stop,15.721197762573864,0.004,RULE:ta_C
160062,160063,160065,-1,1.929656179126996,1.0,target,8.813851626276119,0.004,RULE:ta_C
160614,160615,160617,-1,-1.176895963375491,1.0,stop,7.744665134568095,0.004,RULE:ta_C
161085,161086,161092,-1,-1.1940837304292726,1.0,stop,7.058809087036025,0.004,RULE:ta_C
161227,161228,161234,-1,1.924520544317834,1.0,target,8.214155685101105,0.004,RULE:ta_C
161406,161407,161410,1,-1.2400377350150378,1.0,stop,5.707435957576308,0.004,RULE:ta_C
161626,161627,161804,1,-1.093417632086762,1.0,stop,14.665325692772967,0.004,RULE:ta_C
162074,162075,162081,-1,-1.2943264350354902,1.0,stop,4.654695728689148,0.004,RULE:ta_C
162075,162076,162081,-1,-1.2953178350004846,1.0,stop,4.639069631530219,0.004,RULE:ta_C
162389,162390,162395,-1,-1.1789638776936793,1.0,stop,7.65517610400093,0.004,RULE:ta_C
162390,162391,162395,-1,-1.1803544594098174,1.0,stop,7.596152623467788,0.004,RULE:ta_C
162526,162527,162533,-1,-1.24014088765293,1.0,stop,5.70498432561817,0.004,RULE:ta_C
162541,162542,162542,-1,-1.1782317741794437,1.0,stop,7.686620448611393,0.004,RULE:ta_C
162722,162723,162730,1,1.9294934988479628,1.0,target,8.793515347798348,0.004,RULE:ta_C
163080,163081,163085,1,-1.350922129393337,1.0,stop,3.904000019515479,0.004,RULE:ta_C
