sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg
267325,267326,267368,-1,-1.0151303947225776,1.0,stop,41.9685019223225,0.002,RULE:smc_C
267900,267901,267915,-1,1.4861273180149488,1.0,target,18.74186983311301,0.002,RULE:smc_C
268012,268013,268013,-1,-1.0306539632195333,1.0,stop,20.715102822181507,0.002,RULE:smc_C
268451,268452,268644,1,-0.0002020734619435,1.0,time,49.48695342683504,0.002,RULE:smc_C
271728,271729,271808,-1,1.4885302263141738,1.0,target,22.668276386420075,0.002,RULE:smc_C
271752,271753,271799,1,-1.0452802493587103,1.0,stop,14.023774360638528,0.002,RULE:smc_C
273942,273943,273950,-1,-1.01938671224367,1.0,stop,32.75439342260506,0.002,RULE:smc_C
274219,274220,274289,1,1.491772680852674,1.0,target,31.602031639249617,0.002,RULE:smc_C
274436,274437,274445,-1,-1.034869538326347,1.0,stop,18.21073723595009,0.002,RULE:smc_C
274463,274464,274494,1,-1.0127308099179848,1.0,stop,49.87899466654744,0.002,RULE:smc_C
274469,274470,274563,-1,-1.0136272836169284,1.0,stop,46.59769458464689,0.002,RULE:smc_C
274782,274783,274794,1,1.4729876077301745,1.0,target,9.625211917658817,0.002,RULE:smc_C
274800,274801,274815,-1,-1.049364347738586,1.0,stop,12.863534698416515,0.002,RULE:smc_C
275017,275018,275087,1,-1.017282466923412,1.0,stop,36.74243976939351,0.002,RULE:smc_C
275095,275096,275103,1,-1.0172944577712857,1.0,stop,36.71696496054983,0.002,RULE:smc_C
275158,275159,275165,1,-1.0447399142592502,1.0,stop,14.193142980123412,0.002,RULE:smc_C
276595,276596,276656,-1,1.4911300465993371,1.0,target,29.312442608837955,0.002,RULE:smc_C
276611,276612,276656,1,-1.0160475185697926,1.0,stop,39.56998069441761,0.002,RULE:smc_C
277448,277449,277453,1,-1.0443960762103397,1.0,stop,14.30306581580544,0.002,RULE:smc_C
277675,277676,277776,-1,1.4924064978515328,1.0,target,34.23980067651746,0.002,RULE:smc_C
277918,277919,277927,1,-1.0432778137623089,1.0,stop,14.672645052903135,0.002,RULE:smc_C
278291,278292,278392,-1,-1.0129483209264296,1.0,stop,49.04110761603533,0.002,RULE:smc_C
278736,278737,278744,-1,-1.0189603921494057,1.0,stop,33.490868490286175,0.002,RULE:smc_C
