sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
141732,66,67,-1,1.9725596404207133,1.0,target,0.0029154136908755,0.0025,RULE:smc_B,2015-09-14 08:30:00+00:00,2015-09-14 15:45:00+00:00
142044,68,69,-1,-1.05431667455003,1.0,stop,0.0023933718526962,0.0025,RULE:smc_B,2015-09-17 14:30:00+00:00,2015-09-17 18:45:00+00:00
142203,70,71,-1,-1.1050595469604858,1.0,stop,0.0012373934950338,0.0025,RULE:smc_B,2015-09-21 06:15:00+00:00,2015-09-21 08:45:00+00:00
142218,72,75,-1,1.9769688503363143,1.0,target,0.0034735565166397,0.0025,RULE:smc_B,2015-09-21 10:00:00+00:00,2015-09-21 15:15:00+00:00
136903,73,74,1,-1.145582164425353,1.0,stop,1.5455189918905037,0.0075,RULE:ta_A,2015-09-21 11:45:00+00:00,2015-09-21 12:15:00+00:00
137073,76,77,-1,-1.139475020464921,1.0,stop,1.6131920916727722,0.0075,RULE:ta_A,2015-09-23 08:15:00+00:00,2015-09-23 12:30:00+00:00
142504,78,79,-1,-1.0362648783098485,1.0,stop,0.0035847355915379,0.0025,RULE:smc_B,2015-09-24 09:30:00+00:00,2015-09-24 11:45:00+00:00
137257,80,81,1,-1.1309756162254494,1.0,stop,1.7178770101193097,0.0075,RULE:ta_A,2015-09-25 08:15:00+00:00,2015-09-25 08:45:00+00:00
142719,82,83,1,1.9799416554786748,1.0,target,0.0039883650375507,0.0025,RULE:smc_B,2015-09-28 15:15:00+00:00,2015-09-29 06:00:00+00:00
137802,84,85,1,-1.1518709164474978,1.0,stop,1.4815213160163694,0.0075,RULE:ta_A,2015-10-05 06:30:00+00:00,2015-10-05 07:15:00+00:00
137820,86,87,1,-1.1023224565014322,1.0,stop,2.198930788929601,0.0075,RULE:ta_A,2015-10-05 11:00:00+00:00,2015-10-05 12:15:00+00:00
143695,88,91,-1,-1.0694593982856204,1.0,stop,0.0018715969790803,0.0025,RULE:smc_B,2015-10-12 19:15:00+00:00,2015-10-13 07:00:00+00:00
138338,89,90,1,-1.0856303402264105,1.0,stop,2.6275733508123267,0.0075,RULE:ta_A,2015-10-13 02:30:00+00:00,2015-10-13 03:30:00+00:00
138342,90,90,1,-1.1046095304464596,1.0,stop,2.150855653778762,0.0075,RULE:ta_A,2015-10-13 03:30:00+00:00,2015-10-13 03:30:00+00:00
143821,92,93,-1,-1.0810515990421958,1.0,stop,0.0016039165363341,0.0025,RULE:smc_B,2015-10-14 02:45:00+00:00,2015-10-14 07:15:00+00:00
138471,94,95,1,3.0,1.0,target,3.794752319117378,0.0075,RULE:ta_A,2015-10-14 12:45:00+00:00,2015-10-14 14:30:00+00:00
138911,96,97,1,-1.0852795019334625,1.0,stop,2.638383138957124,0.0075,RULE:ta_A,2015-10-21 07:45:00+00:00,2015-10-21 14:30:00+00:00
139005,98,99,-1,-1.0953580254665296,1.0,stop,2.359528722402956,0.0075,RULE:ta_A,2015-10-22 08:15:00+00:00,2015-10-22 15:15:00+00:00
144831,100,101,-1,-1.0397470881458306,1.0,stop,0.0032706798425872,0.0025,RULE:smc_B,2015-10-28 15:15:00+00:00,2015-10-28 16:45:00+00:00
118094,102,103,-1,-1.205729100659254,1.0,stop,6.659242642921527,0.004,RULE:ta_C,2015-11-02 11:45:00+00:00,2015-11-02 13:45:00+00:00
139731,104,105,-1,3.0,1.0,target,1.5424492639333494,0.0075,RULE:ta_A,2015-11-03 05:30:00+00:00,2015-11-03 09:30:00+00:00
145864,106,107,1,1.980810480689095,1.0,target,0.0041689423639985,0.0025,RULE:smc_B,2015-11-12 09:30:00+00:00,2015-11-12 20:45:00+00:00
146053,108,115,-1,1.9695899332343976,1.0,target,0.0026307078053011,0.0025,RULE:smc_B,2015-11-16 08:45:00+00:00,2015-11-16 19:30:00+00:00
140594,109,110,1,-1.0675883130235224,1.0,stop,3.3289778947671493,0.0075,RULE:ta_A,2015-11-16 14:00:00+00:00,2015-11-16 14:15:00+00:00
140596,111,112,1,-1.0659289342240916,1.0,stop,3.41276561873633,0.0075,RULE:ta_A,2015-11-16 14:30:00+00:00,2015-11-16 18:30:00+00:00
119046,113,114,-1,-1.0702818860112784,1.0,stop,19.492931646429497,0.004,RULE:ta_C,2015-11-16 18:45:00+00:00,2015-11-16 19:15:00+00:00
140971,116,117,1,-1.0705415076686355,1.0,stop,3.1896114420580943,0.0075,RULE:ta_A,2015-11-20 16:15:00+00:00,2015-11-20 17:00:00+00:00
146653,118,119,-1,-1.035850442601395,1.0,stop,0.0036261755941346,0.0025,RULE:smc_B,2015-11-24 14:45:00+00:00,2015-11-25 02:00:00+00:00
118608,120,121,1,-1.258593984747658,1.0,stop,1.914197658089506,0.002,RULE:ta_C,2015-11-27 03:30:00+00:00,2015-11-27 06:00:00+00:00
118608,120,121,1,-1.3317316774035608,1.0,stop,1.914197658089506,0.002,RULE:ta_C,2015-11-27 03:30:00+00:00,2015-11-27 06:00:00+00:00
147113,122,123,-1,-1.0519255140937045,1.0,stop,0.0025035861901243,0.0025,RULE:smc_B,2015-12-01 09:45:00+00:00,2015-12-01 14:00:00+00:00
