sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
72803,72804,72812,1,-1.2752581290181222,0.5,stop,4.977146378517318,0.0025
72842,72843,73000,-1,-1.1023277564691427,1.25,stop,13.388351775435694,0.0025
73193,73194,73284,-1,1.4236432986010024,0.75,target,8.119785017433514,0.0025
73764,73765,73766,-1,-1.0687690648649895,0.5,stop,19.921748284488785,0.0025
73821,73822,73828,1,-1.4659711680520322,0.5,stop,2.9400960701650547,0.0025
74450,74451,74464,1,-1.1845478419067699,0.5,stop,7.423549285892477,0.0025
74858,74859,74861,1,1.422900773248254,0.5,target,8.041585189908346,0.0025
74930,74931,74931,1,-1.3038506764818312,0.5,stop,4.508793647796665,0.0025
75479,75480,75480,1,-1.211709050393949,0.5,stop,6.471145175185939,0.0025
75496,75497,75501,-1,1.4191893271598472,1.0,target,7.672253901735985,0.0025
75717,75718,75751,1,1.4249270055117387,0.5,target,8.258628874817532,0.0025
75859,75860,75913,-1,1.4623248580547172,0.75,target,16.456474162743234,0.0025
76037,76038,76047,-1,1.4752784039168205,0.75,target,25.079286867793144,0.0025
76275,76276,76286,-1,-1.1176250012275446,0.5,stop,11.647183725420291,0.0025
77037,77038,77042,1,1.4031079784042764,0.5,target,6.398875674064129,0.0025
77227,77228,77228,-1,-1.4251311257103794,0.5,stop,3.222535159501149,0.0025
77841,77842,77847,-1,-1.2483999645342472,0.75,stop,5.515298694058856,0.0025
77945,77946,77946,1,-1.1916068529689188,0.5,stop,7.150057415859919,0.0025
77948,77949,77951,-1,-1.0952679197934787,0.75,stop,14.380496634857536,0.0025
78106,78107,78109,-1,1.3085997354303929,0.5,target,3.239284968566608,0.0025
78130,78131,78134,-1,-1.166686489455086,0.5,stop,8.219022456341008,0.0025
78286,78287,78315,-1,-1.1540758394857231,0.5,stop,8.89172503990767,0.0025
80197,80198,80253,1,1.416149707268105,0.5,target,7.394130417435463,0.0025
80897,80898,80898,1,-1.2588947633170053,0.5,stop,5.291725419422619,0.0025
81213,81214,81221,-1,-1.0440475677507335,1.0,stop,31.102738924266305,0.0025
81544,81545,81565,1,1.4047614259303987,0.5,target,6.509967269636945,0.0025
82699,82700,82774,1,-1.053522243911052,0.75,stop,25.596834136415964,0.0025
83524,83525,83540,1,1.4518963486852878,1.0,target,12.888834486678661,0.0025
84058,84059,84251,1,-1.1178377972657005,0.5,stop,11.62615079193074,0.0025
84256,84257,84356,1,1.4493537814125848,1.25,target,12.241782650162804,0.0025
84717,84718,84798,1,-1.1541101465849586,0.75,stop,8.889745616098935,0.0025
84826,84827,84831,1,1.4047193281732797,1.0,target,6.5070909777750785,0.0025
85185,85186,85288,1,-1.1235265924837103,0.75,stop,11.090729311428731,0.0025
85290,85291,85291,-1,-1.2342651098363644,0.5,stop,5.848075289388817,0.0025
85524,85525,85525,1,-1.2935189497308506,0.5,stop,4.667501029341565,0.0025
85562,85563,85642,-1,-1.1080728116950505,0.5,stop,12.676638818889387,0.0025
85664,85665,85666,1,-1.1315580749819103,1.25,stop,10.413651919035601,0.0025
