sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
102677,102678,102678,-1,-1.041390348639694,1.0,stop,5.436049885893681,0.002
102829,102830,102832,-1,-1.0783501879902406,0.5,stop,2.8717225289610724,0.002
102842,102843,102875,1,2.0,1.0,target,3.9099579314713537,0.002
103118,103119,103119,-1,-1.0650240943785614,0.75,stop,3.460255804409826,0.002
103218,103219,103229,1,-1.0672341310442646,0.5,stop,3.3465145827760807,0.002
103256,103257,103260,-1,2.0,0.5,target,4.508970827118901,0.002
103588,103589,103589,-1,-1.0685481443512754,0.75,stop,3.282364564777936,0.002
104324,104325,104325,1,-1.122447044307873,0.75,stop,1.8375290418132408,0.002
104418,104419,104419,1,-1.1067430859597664,0.75,stop,2.1078648605373473,0.002
104607,104608,104618,1,-1.0568012966719735,0.5,stop,3.9611771769803,0.002
104664,104665,104687,-1,-1.0655930331155785,0.75,stop,3.4302423491142235,0.002
104983,104984,105176,-1,0.4270803765110224,0.75,time,7.399075616200207,0.002
104990,104991,105071,1,-1.0514659943665718,0.75,stop,4.371818766335764,0.002
105323,105324,105326,1,-1.1303710896968473,0.5,stop,1.7258427502838458,0.002
105349,105350,105371,-1,2.0,0.5,target,3.8196783892917665,0.002
106134,106135,106144,-1,2.0,0.75,target,0.7273140330885326,0.002
106374,106375,106549,-1,-1.0385261792747902,0.75,stop,5.840184628615361,0.002
106504,106505,106508,-1,-1.2008206008977793,0.75,stop,1.1204029815369267,0.002
107115,107116,107129,-1,-1.0791129090213196,1.0,stop,2.844036488903157,0.002
107664,107665,107719,-1,-1.0548064040302823,0.5,stop,4.10535965606482,0.002
107736,107737,107741,1,-1.1133758704506862,0.5,stop,1.984549261721213,0.002
107856,107857,107858,-1,-1.1212225758051766,0.75,stop,1.8560899115154825,0.002
108393,108394,108394,1,-1.141697104838356,0.5,stop,1.5878941228656913,0.002
108640,108641,108647,1,-1.1490781767271676,0.5,stop,1.5092752335688147,0.002
108652,108653,108668,1,-1.1338533611258002,0.5,stop,1.6809439681417189,0.002
108717,108718,108721,1,-1.115027039187234,0.5,stop,1.9560618232872002,0.002
108927,108928,108943,-1,-1.1009089088191388,0.5,stop,2.229733753272285,0.002
109035,109036,109046,-1,-1.0522177489928144,1.0,stop,4.308879726524992,0.002
109224,109225,109280,1,-1.050521504315285,0.5,stop,4.453549098533813,0.002
109407,109408,109451,-1,2.0,0.75,target,3.6617486729148823,0.002
109933,109934,109942,-1,-1.1199297046371737,0.5,stop,1.8760990088369454,0.002
110131,110132,110133,1,-1.131881389708087,0.75,stop,1.7060784732245793,0.002
110313,110314,110323,1,2.0,0.5,target,1.6788143861588196,0.002
110414,110415,110444,1,2.0,0.5,target,3.9189958860545175,0.002
110713,110714,110784,1,-1.0544538871438134,0.75,stop,4.131936429178722,0.002
110763,110764,110766,1,-1.118386342515714,0.5,stop,1.900557067805721,0.002
110771,110772,110786,-1,-1.0913058165653664,0.75,stop,2.4642460739489707,0.002
110880,110881,110968,1,-1.0573396177230554,0.5,stop,3.92398849058668,0.002
111452,111453,111486,-1,2.0,0.5,target,1.7711710007552028,0.002
111701,111702,111760,1,2.0,0.75,target,2.3879318798644817,0.002
112122,112123,112132,-1,-1.0570619117755722,0.75,stop,3.9430855538953438,0.002
