n_trades,n_taken,skipped_by_daily_cap,win_rate,avg_R,t_stat,profit_factor,total_return_pct,ann_return_pct,sharpe,max_dd_pct,worst_day_pct,trailing_dd_breaches,oos_days,model,instrument,strategy,style
12316,12315,1,0.3406,-0.1028,-8.38,0.855,-99.07,-24.49,-1.82,-99.19,-3.24,2,4199,XAUUSD_ml_rec_C,XAUUSD,ml_rec,C
550,550,0,0.2836,-0.13,-1.96,0.825,-43.67,-3.4,-0.47,-51.32,-1.74,5,4182,XAUUSD_ta_A,XAUUSD,ta,A
544,544,0,0.2261,-0.1427,-1.84,0.829,-18.1,-1.2,-0.44,-22.29,-0.58,5,4182,XAUUSD_ta_B,XAUUSD,ta,B
710,710,0,0.3662,-0.1318,-2.83,0.806,-18.94,-1.26,-0.58,-22.17,-1.28,2,4181,XAUUSD_ta_C,XAUUSD,ta,C
152,152,0,0.4211,-0.0187,-0.18,0.966,-2.77,-0.17,-0.03,-10.89,-0.88,2,4208,EURUSD_smc_A,EURUSD,smc,A
208,208,0,0.3365,-0.0708,-0.72,0.898,-3.7,-0.23,-0.05,-12.49,-2.08,2,4182,EURUSD_smc_B,EURUSD,smc,B
119,119,0,0.4202,-0.0088,-0.07,0.986,-2.76,-0.17,-0.12,-5.35,-0.47,2,4208,EURUSD_smc_C,EURUSD,smc,C
7664,7648,16,0.3167,-0.1397,-8.12,0.808,-99.98,-39.63,-1.96,-99.98,-5.78,5,4247,EURUSD_ml_A,EURUSD,ml,A
5845,5777,68,0.2287,-0.162,-6.9,0.81,-99.7,-29.19,-1.45,-99.73,-3.86,1,4247,EURUSD_ml_B,EURUSD,ml,B
9904,9901,3,0.3342,-0.1333,-9.45,0.822,-99.27,-25.31,-2.24,-99.32,-3.44,3,4247,EURUSD_ml_C,EURUSD,ml,C
7259,7245,14,0.3082,-0.1552,-8.8,0.789,-99.99,-41.02,-2.15,-99.99,-6.25,3,4247,EURUSD_ml_err_A,EURUSD,ml_err,A
5716,5709,7,0.2326,-0.156,-6.56,0.817,-99.36,-25.89,-1.58,-99.37,-4.17,2,4247,EURUSD_ml_err_B,EURUSD,ml_err,B
9174,9174,0,0.3285,-0.1464,-9.95,0.806,-98.71,-22.73,-2.22,-98.81,-3.49,2,4247,EURUSD_ml_err_C,EURUSD,ml_err,C
9865,9832,33,0.3036,-0.1601,-10.51,0.784,-100.0,-52.21,-2.55,-100.0,-3.84,1,4247,EURUSD_ml_rec_A,EURUSD,ml_rec,A
6340,6289,51,0.2193,-0.1557,-6.71,0.819,-98.66,-22.59,-1.37,-98.75,-3.47,6,4247,EURUSD_ml_rec_B,EURUSD,ml_rec,B
12965,12963,2,0.316,-0.1805,-14.72,0.765,-99.94,-35.53,-3.2,-99.94,-3.3,2,4247,EURUSD_ml_rec_C,EURUSD,ml_rec,C
640,640,0,0.2578,-0.2732,-4.68,0.658,-74.12,-7.74,-1.13,-75.03,-2.78,2,4231,EURUSD_ta_A,EURUSD,ta,A
633,633,0,0.267,-0.2043,-3.32,0.751,-59.96,-5.31,-0.62,-62.86,-3.69,3,4231,EURUSD_ta_B,EURUSD,ta,B
774,774,0,0.3178,-0.1884,-3.84,0.753,-25.59,-1.75,-0.81,-27.12,-1.12,3,4231,EURUSD_ta_C,EURUSD,ta,C
