ts,ret
2010-04-07,0.0
2010-04-08,0.0
2010-04-09,0.0
2010-04-11,0.0
2010-04-12,-0.0
2010-04-13,0.0007301440994203869
2010-04-14,0.001153068781620892
2010-04-15,-0.0009929307559687747
2010-04-16,-0.012773697777688464
2010-04-18,5.576256867520935e-05
2010-04-19,-0.00028789475768723464
2010-04-20,0.0026938853919849246
2010-04-21,0.0029792457789382717
2010-04-22,-0.004023931159789859
2010-04-23,0.012099162041870774
2010-04-25,0.0007541405869883044
2010-04-26,-0.0026948068516608136
2010-04-27,0.007089171954726904
2010-04-28,0.00020050059491184862
2010-04-29,0.005154388941031149
2010-04-30,0.00432146865659825
2010-05-02,-0.0008354341994860879
2010-05-03,0.001007112501753897
2010-05-04,-0.008305230360425535
2010-05-05,0.005026601666267398
2010-05-06,0.01830219698341134
2010-05-07,0.005581691714113599
2010-05-09,-0.0049244987320337785
2010-05-10,0.0004623136346680893
2010-05-11,0.017723339105055445
2010-05-12,0.006527029933559554
2010-05-13,-0.0008182129246156601
2010-05-14,-0.002801387785435274
2010-05-16,0.0043599667346370646
2010-05-17,-0.00845344375485547
2010-05-18,-0.008002959714564103
2010-05-19,-0.01055648500820152
2010-05-20,-0.018295750398871685
2010-05-21,0.004895678307056122
2010-05-23,0.005148283961892842
2010-05-24,0.004555176222861664
2010-05-25,0.006506340489918435
2010-05-26,0.006348680836225916
2010-05-27,-0.0021863340429450796
2010-05-28,0.0028154229272040693
2010-05-30,-0.0019537609673150567
2010-05-31,0.006021590301022985
2010-06-01,0.001736337693416132
2010-06-02,-0.0006575831329522771
2010-06-03,-0.01018561947132387
2010-06-04,0.008367395392791284
2010-06-06,-0.0010291154946525422
2010-06-07,0.012515845053785165
2010-06-08,-0.00042154288624557233
2010-06-09,-0.002730766058958558
2010-06-10,-0.007294003806767666
2010-06-11,0.0035718724707233286
2010-06-13,0.001457400211874742
2010-06-14,-0.0046676821441048325
2010-06-15,-0.00027194534620336947
2010-06-16,-0.0
