ts,ret
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,-0.0
2011-02-23,0.013164984181216302
2011-02-24,-0.0035231670735591273
2011-02-25,0.001666999594115733
2011-02-27,-0.0002727923816099427
2011-02-28,-0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,-0.0010483166987742445
2011-03-04,0.011131058876769137
2011-03-06,0.003449133583704131
2011-03-07,-0.003897563282094861
2011-03-08,-0.0024108497499513073
2011-03-09,0.006811482017925498
2011-03-10,-0.008526915511221879
2011-03-11,-0.006747516293010001
2011-03-13,-0.0002467584023901552
2011-03-14,-0.0
2011-03-15,-0.0
2011-03-16,0.002199042424360864
2011-03-17,-0.00023796950736745335
2011-03-18,-0.0
2011-03-20,0.0
2011-03-21,-0.0
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,0.0
2011-03-27,-0.0
2011-03-28,-0.0
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,0.0
2011-04-01,0.0
2011-04-03,0.0002467440237784536
2011-04-04,-0.0010766344001611119
2011-04-05,-0.0002163194131988786
2011-04-06,0.0
2011-04-07,0.0
2011-04-08,0.006664243790655781
2011-04-10,-0.0013290195413021132
2011-04-11,-0.014083960046773621
2011-04-12,-0.00672068516920268
2011-04-13,0.005974754404819013
2011-04-14,0.0023556800134874943
2011-04-15,0.004062489813702645
2011-04-17,-0.00021699057023636946
2011-04-18,-0.0
2011-04-19,0.0
2011-04-20,0.010470942401105321
2011-04-21,-0.00021307676540631356
2011-04-24,0.0
2011-04-25,-0.0
2011-04-26,0.0
2011-04-27,0.0
2011-04-28,-0.0031811501828742867
2011-04-29,0.004144829681999987
2011-05-01,-0.0002147709641491923
2011-05-02,0.0
2011-05-03,-0.007392960553849982
2011-05-04,-0.006970435401474142
2011-05-05,-0.026663254104611518
2011-05-06,-0.008158284349822643
2011-05-08,0.0012439629041594309
2011-05-09,0.008335071851358646
2011-05-10,0.008674160626800799
2011-05-11,-0.011511206173762679
2011-05-12,-0.0025110844614547557
2011-05-13,0.002228605079759248
2011-05-15,-0.0002229722075083392
2011-05-16,-0.0
2011-05-17,0.0
2011-05-18,0.008264206362639857
2011-05-19,-0.00022561863034409492
2011-05-20,0.0
2011-05-22,-0.0029546395382527854
2011-05-23,-0.0034866574127305674
2011-05-24,-0.00022855918907878768
2011-05-25,0.0
2011-05-26,-0.0
2011-05-27,0.0
2011-05-29,-0.0
2011-05-30,0.0
2011-05-31,0.0
2011-06-01,-0.0
2011-06-02,0.0015249127189999711
2011-06-03,0.00016811552920554021
2011-06-05,-0.0016492308008697225
2011-06-06,0.004590760171068378
2011-06-07,-0.0002400227793220168
2011-06-08,-0.011291100474067154
2011-06-09,-0.0021885677771415206
2011-06-10,0.010158678051569961
2011-06-12,-0.0005312697812153392
2011-06-13,0.006070202064936584
2011-06-14,-0.006482283440514736
2011-06-15,0.012124250865025329
2011-06-16,0.0022650361824412646
2011-06-17,-0.0002368026686098058
2011-06-19,0.0
2011-06-20,-0.0
2011-06-21,0.0
2011-06-22,-0.0
2011-06-23,0.0
2011-06-24,0.0019762220360185173
2011-06-26,-0.0002556046214737908
2011-06-27,-0.0
2011-06-28,-0.0
2011-06-29,-0.0
2011-06-30,0.00079210425822214
2011-07-01,-0.0002421227735476323
2011-07-03,-0.0
2011-07-04,0.0
2011-07-05,-0.0
2011-07-06,-0.0
2011-07-07,-0.0
2011-07-08,0.006357855444892035
2011-07-10,0.002192288751095096
2011-07-11,0.004834825388767285
2011-07-12,-0.008531340345132359
2011-07-13,-0.005330775641641782
2011-07-14,0.006200717481433226
2011-07-15,-0.0042068352281321485
2011-07-17,-0.00026560347273507363
2011-07-18,0.0
2011-07-19,-0.0
2011-07-20,0.0
2011-07-21,-0.005692290324160438
2011-07-22,-0.00028205147236179943
2011-07-24,0.0
2011-07-25,-0.0
2011-07-26,0.0
2011-07-27,0.008387148298907155
2011-07-28,-0.0002982073852643036
2011-07-29,-0.00029865172818943023
2011-07-31,-0.0
2011-08-01,0.007343566100226327
2011-08-02,0.00793867162702311
2011-08-03,0.005732926538068825
2011-08-04,0.02577047237267439
2011-08-05,-0.0034934110958500437
2011-08-07,0.012219793735850325
2011-08-08,0.030345502614002835
2011-08-09,-0.020614004803594373
2011-08-10,-0.0025945319750658447
2011-08-11,-0.008645749800491103
2011-08-12,-0.0007563924471365988
2011-08-14,-0.00022809877826894173
2011-08-15,-0.0
2011-08-16,0.0
2011-08-17,-0.0
2011-08-18,0.0
2011-08-19,-0.0
2011-08-21,-0.0
2011-08-22,-0.0
2011-08-23,-0.0
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,-0.0
2011-08-28,0.0
2011-08-29,-0.0
2011-08-30,-0.0
2011-08-31,-0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-04,0.0
2011-09-05,0.005208124395950553
2011-09-06,-0.006950908042450837
2011-09-07,-0.009980272910825982
2011-09-08,0.00035077657957028127
2011-09-09,0.006846697494889295
2011-09-11,0.0031200993034945536
2011-09-12,-0.008348272524894639
2011-09-13,-0.0017123282692480843
2011-09-14,0.0018001754090935223
2011-09-15,-0.0029553663515729444
2011-09-16,-0.0002062870281151021
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,-0.0
2011-09-21,0.0
2011-09-22,0.009550179185475459
