,ret
2011-05-02,0.0017614030298181789
2011-05-04,0.0003673450837997835
2011-05-05,0.0006557074819651666
2011-05-11,0.0006211728093363873
2011-05-13,0.0012632482357032113
2011-06-01,0.0015033848435908265
2011-06-02,0.0008324079360951437
2011-06-09,0.0006887475612106959
2011-06-10,0.00042806716539596653
2011-06-13,0.0008006065653014234
2011-06-15,0.0016021232474261178
2011-06-17,-0.00033865324433771224
2011-06-23,-0.0013369621749216324
2011-06-24,-0.0006224640392286563
2011-07-05,-0.0003778837441883599
2011-07-06,-8.083929894242771e-05
2011-07-08,-0.00039078490187859213
2011-07-12,-0.0005066871393848783
2011-07-13,-0.00015974728013891016
2011-07-19,0.00035327308942611455
2011-07-22,0.0006734737612344984
2011-07-29,0.00033696474429167265
2011-08-02,-0.0014999557827451893
2011-08-04,-2.951472231364336e-06
2011-08-09,0.005398248601594832
2011-08-10,0.0003208452623432217
2011-08-11,-3.926364915554013e-05
2011-08-12,0.002607017609312066
2011-08-23,-0.00023830269297656559
2011-08-24,-0.007271575601490773
2011-09-07,0.0027741667704291426
2011-09-19,-0.00018955860618670559
2011-09-22,0.003443738626645872
2011-09-23,-0.0038659004456975967
2011-10-04,0.0016988338459728845
2011-10-25,-0.0030984714557653562
2011-11-01,0.0021444979375833733
2011-11-03,-0.00019779779049521615
2011-11-17,-0.0007466396745198938
2011-11-21,0.0009334630617995322
2011-11-30,-0.002878872658141303
2011-12-05,-0.000828777354908796
2011-12-07,0.001478872537712615
2011-12-08,-0.000633255931975665
2011-12-12,-0.0004968501948124888
2011-12-13,0.00020888089436813055
2011-12-14,-0.003709289711500501
2011-12-20,-0.00035004968482650346
2011-12-21,-3.822165542418394e-05
2011-12-28,-0.00025612966653988287
2012-01-13,0.000893895064554906
2012-01-25,-0.002180727654267202
2012-01-30,-0.00028743790776946586
2012-02-03,-0.001184417884137591
2012-02-07,-0.0005337330519355471
2012-02-15,-0.001084400473720016
2012-02-16,-0.0007084148231339057
2012-02-22,0.00018486862217434734
2012-02-29,-0.001288109750828227
2012-03-05,-0.0002918391840716587
2012-03-06,0.00040719597427251526
2012-03-09,0.0021753284062901116
2012-03-14,-0.0003872338209940497
2012-03-23,0.0006515696930114725
2012-03-26,-0.0015039310592353831
2012-03-28,0.00017070811157488198
2012-03-29,0.0007624420312915174
2012-03-30,0.00029110336945066713
2012-04-02,-0.00011949709160017354
2012-04-04,0.000853555669611364
2012-04-06,-0.0002178439154254978
2012-04-10,-0.000369939998721332
2012-04-12,-2.3610835786774278e-05
2012-04-13,-0.00021365270626647016
2012-04-16,-0.00024443354429552294
2012-04-17,-0.0009221014258455236
2012-04-23,0.0010451061936248792
2012-04-30,0.001107704804833798
2012-05-03,-0.00012340514127291878
2012-05-04,-0.0015158411888801164
2012-05-07,0.00038723486632696906
2012-05-08,-0.001006839365710139
2012-05-14,-0.0004692722168882429
2012-05-17,-0.0018778517756375328
2012-05-21,-0.0013254826224138162
2012-05-23,0.0014563205480349417
2012-05-29,-0.0011865327392381702
2012-05-30,0.0006318189863667726
2012-06-01,-0.004624964254470282
2012-06-07,-0.0016356044170604714
2012-06-11,-0.001267750512822347
2012-06-12,0.0006878465441558766
2012-06-21,-0.0016762216812253896
2012-06-25,0.00030717403351273464
2012-06-28,0.00247092218626476
2012-06-29,-0.0003670189189727137
2012-07-05,0.0006142949214810102
2012-07-06,0.0003936713268319122
2012-07-12,0.0011233499396191072
2012-07-17,0.0026127452667900355
2012-07-18,-0.0009366365191488845
2012-07-23,0.0007446467384530905
2012-07-25,-5.941878111676996e-05
2012-07-26,-0.0002915034734424132
2012-07-27,-0.001054291968948596
2012-08-01,0.0002102418590104197
2012-08-03,-0.00022985830808718456
2012-08-10,0.00042897187416023036
2012-08-13,0.00025139239134653945
2012-08-14,0.0003301128656432226
2012-08-21,-0.00031800587097171776
2012-08-23,-4.482587003114486e-05
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.00024040729369628332
2012-08-30,0.0
2012-08-31,-0.000895626123902338
2012-09-02,0.0
2012-09-03,0.0
2012-09-04,0.0006573832327297716
2012-09-05,0.0
2012-09-06,-0.001615670660050246
2012-09-07,-0.0010631772044375593
2012-09-09,0.0
2012-09-10,0.0
2012-09-11,0.0
2012-09-12,0.0
2012-09-13,-0.003186679960406398
2012-09-14,0.00015829555035827973
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,0.0
2012-09-20,0.0
2012-09-23,0.0
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,0.0018295951823025655
2012-09-27,-0.0007621785137831242
2012-09-30,0.0
2012-10-01,0.0018430297876070047
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,-0.0016604699064611396
2012-10-10,0.0
2012-10-11,0.0
2012-10-12,-4.164593602271051e-05
2012-10-14,0.0
2012-10-15,0.00043953384043710834
2012-10-16,0.0002062829940206266
2012-10-17,0.0
2012-10-18,-0.0003096943538018482
2012-10-19,-0.001932614967804965
2012-10-21,0.0
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-26,0.0015165262288796433
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,-0.0010089803266303955
2012-11-02,-0.0014926549658457297
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,-0.0016401847017508478
2012-11-07,-1.9406870573229635e-05
2012-11-08,-4.837337804211297e-05
2012-11-11,0.0
2012-11-12,0.0
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,0.0
2012-11-18,0.0
2012-11-19,5.769197505267864e-05
2012-11-20,0.00039913504672854427
2012-11-21,0.0004052004559852444
2012-11-22,0.0004065026484018495
2012-11-23,-0.0004907178237408879
2012-11-25,0.00040835653284894944
2012-11-26,-0.0007512942181896245
2012-11-27,-0.00075352339895813
2012-11-28,-0.0006163198244161313
2012-11-29,-0.0007478311354297357
2012-11-30,-9.660474737187303e-05
2012-12-02,-0.0007445003435049619
2012-12-03,-8.053291736279732e-05
2012-12-04,0.0005003346424777769
2012-12-05,-0.0009670748770411613
2012-12-06,-8.065030807269806e-05
2012-12-09,-8.062329219370188e-05
2012-12-10,0.0007256480244305058
2012-12-11,-0.000441685418374432
2012-12-12,0.0
2012-12-13,0.0008662182994490617
2012-12-14,0.0005948930089220536
2012-12-16,0.0
2012-12-17,-0.001387510013873704
2012-12-18,-0.0012822874170357013
2012-12-19,0.0
2012-12-20,-0.0012090718849386082
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0019306609850086196
2012-12-30,0.0
2012-12-31,-0.0027908651932960775
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,-0.0016228331036618065
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.00046192067852895557
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0005979400875647732
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,-0.00014983028362397386
2013-01-31,-0.0002338760312525371
2013-02-01,0.0012219282392976199
2013-02-03,0.0
2013-02-04,-0.0014927410171426303
2013-02-05,-0.0010033865798783396
2013-02-06,0.0
2013-02-07,0.0028428367334888283
2013-02-08,-0.00012735694519297832
2013-02-10,0.0
2013-02-11,-0.0002384540439615976
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,-0.0008091545245918441
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,-0.005515493482257421
2013-02-21,0.0009716204527700301
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,-0.00045917189609817925
2013-02-27,-0.0007610545074927405
2013-02-28,5.348034815197432e-05
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,-0.0005563953851246422
2013-03-06,0.0
2013-03-07,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-17,0.0
2013-03-18,-0.0006521168240472426
2013-03-19,0.0005754516240886363
2013-03-20,0.0
2013-03-21,0.0
2013-03-24,0.0
2013-03-25,0.0012901207564369175
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,-0.0016344309413536498
2013-04-03,-0.0018445432495205517
2013-04-04,0.0
2013-04-05,-0.00042878864401933877
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,-2.6022921292505957e-05
2013-04-10,-0.0021303181251384746
2013-04-11,0.0
2013-04-12,-0.006981699459305514
2013-04-14,0.0
2013-04-15,-0.00814745353178461
2013-04-16,0.0022032414073712703
2013-04-17,-0.0007161672529086721
2013-04-18,-0.0001557867546287433
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.00013962096222974293
2013-04-24,0.0
2013-04-25,0.0
2013-04-28,0.0
2013-04-29,0.0005807752647790577
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,-0.00023759918243598593
2013-05-03,-7.880743936315736e-06
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0008526233735101201
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0002970428813192017
2013-05-15,9.55438407809369e-05
2013-05-16,0.0
2013-05-19,0.0
2013-05-20,1.863357598667588e-05
2013-05-21,0.001498572548104941
2013-05-22,0.0035917822803851716
2013-05-23,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0002605550564350481
2013-06-02,0.0
2013-06-03,0.0016442455276181355
2013-06-04,0.0
2013-06-05,0.00019348350273846877
2013-06-06,0.0015242845374236688
2013-06-07,-0.0005974662866965461
2013-06-09,-0.0002791133073876888
