instrument,dir,entry_date,entry_px,exit_date,exit_px,days_held,pts_net,pct_net
EURUSD,SHORT,2024-06-09,1.07783,2024-06-13,1.08079,4,-0.00312,-0.289
EURUSD,LONG,2024-06-13,1.08079,2024-06-14,1.07428,1,-0.00667,-0.617
EURUSD,SHORT,2024-06-14,1.07428,2024-07-22,1.08926,38,-0.01514,-1.409
EURUSD,LONG,2024-07-22,1.08926,2024-07-23,1.08919,1,-0.00023,-0.021
EURUSD,SHORT,2024-07-23,1.08919,2024-08-04,1.09225,12,-0.00322,-0.296
EURUSD,LONG,2024-08-04,1.09225,2024-11-07,1.07378,95,-0.01863,-1.706
EURUSD,SHORT,2024-11-07,1.07378,2024-11-08,1.07828,1,-0.00466,-0.434
EURUSD,LONG,2024-11-08,1.07828,2024-11-10,1.07093,2,-0.00751,-0.696
EURUSD,SHORT,2024-11-10,1.07093,2025-04-11,1.13021,152,-0.05944,-5.55
EURUSD,LONG,2025-04-11,1.13021,2026-01-04,1.17203,268,0.04166,3.686
EURUSD,SHORT,2026-01-04,1.17203,2026-01-19,1.16332,15,0.00855,0.73
EURUSD,LONG,2026-01-19,1.16332,2026-03-04,1.1593,44,-0.00418,-0.359
EURUSD,SHORT,2026-03-04,1.1593,2026-04-12,1.16739,39,-0.00825,-0.712
EURUSD,LONG,2026-04-12,1.16739,2026-05-20,1.15977,38,-0.00778,-0.666
EURUSD,SHORT,2026-05-20,1.15977,2026-05-21,1.16176,1,-0.00215,-0.185
EURUSD,LONG,2026-05-21,1.16176,2026-06-07,1.15093,17,-0.01099,-0.946
